person,block,condition,trial,attempt,id,item_class,x,y
p12,prac_feat,feat_grid,0,1,1,targ_class1,-327.0,-329.0
p12,prac_feat,feat_grid,0,1,2,targ_class2,-196.0,-314.0
p12,prac_feat,feat_grid,0,1,3,targ_class1,-94.0,-338.0
p12,prac_feat,feat_grid,0,1,4,targ_class1,9.0,-326.0
p12,prac_feat,feat_grid,0,1,5,dist_class1,102.0,-308.0
p12,prac_feat,feat_grid,0,1,6,dist_class1,229.0,-334.0
p12,prac_feat,feat_grid,0,1,7,targ_class2,335.0,-319.0
p12,prac_feat,feat_grid,0,1,8,dist_class2,-336.0,-206.0
p12,prac_feat,feat_grid,0,1,9,dist_class1,-219.0,-218.0
p12,prac_feat,feat_grid,0,1,10,dist_class2,-107.0,-212.0
p12,prac_feat,feat_grid,0,1,11,dist_class1,7.0,-215.0
p12,prac_feat,feat_grid,0,1,12,targ_class1,111.0,-207.0
p12,prac_feat,feat_grid,0,1,13,dist_class2,226.0,-221.0
p12,prac_feat,feat_grid,0,1,14,targ_class2,336.0,-200.0
p12,prac_feat,feat_grid,0,1,15,targ_class1,-325.0,-123.0
p12,prac_feat,feat_grid,0,1,16,targ_class2,-224.0,-119.0
p12,prac_feat,feat_grid,0,1,17,targ_class2,-105.0,-120.0
p12,prac_feat,feat_grid,0,1,18,targ_class1,1.0,-118.0
p12,prac_feat,feat_grid,0,1,19,dist_class2,119.0,-116.0
p12,prac_feat,feat_grid,0,1,20,targ_class1,203.0,-117.0
p12,prac_feat,feat_grid,0,1,21,dist_class2,335.0,-110.0
p12,prac_feat,feat_grid,0,1,22,dist_class1,-331.0,-7.0
p12,prac_feat,feat_grid,0,1,23,dist_class1,-217.0,16.0
p12,prac_feat,feat_grid,0,1,24,targ_class2,-110.0,-18.0
p12,prac_feat,feat_grid,0,1,25,dist_class1,-4.0,-5.0
p12,prac_feat,feat_grid,0,1,26,dist_class2,97.0,-10.0
p12,prac_feat,feat_grid,0,1,27,dist_class1,221.0,3.0
p12,prac_feat,feat_grid,0,1,28,targ_class2,321.0,20.0
p12,prac_feat,feat_grid,0,1,29,targ_class2,-329.0,108.0
p12,prac_feat,feat_grid,0,1,30,dist_class2,-221.0,103.0
p12,prac_feat,feat_grid,0,1,31,targ_class1,-100.0,114.0
p12,prac_feat,feat_grid,0,1,32,dist_class1,7.0,98.0
p12,prac_feat,feat_grid,0,1,33,dist_class1,103.0,106.0
p12,prac_feat,feat_grid,0,1,34,targ_class2,226.0,121.0
p12,prac_feat,feat_grid,0,1,35,targ_class2,307.0,122.0
p12,prac_feat,feat_grid,0,1,36,dist_class2,-333.0,221.0
p12,prac_feat,feat_grid,0,1,37,dist_class2,-223.0,211.0
p12,prac_feat,feat_grid,0,1,38,dist_class2,-109.0,208.0
p12,prac_feat,feat_grid,0,1,39,dist_class2,16.0,213.0
p12,prac_feat,feat_grid,0,1,40,targ_class1,107.0,213.0
p12,prac_feat,feat_grid,0,1,41,targ_class2,205.0,226.0
p12,prac_feat,feat_grid,0,1,42,dist_class2,323.0,210.0
p12,prac_feat,feat_grid,0,1,43,targ_class1,-335.0,318.0
p12,prac_feat,feat_grid,0,1,44,targ_class1,-215.0,328.0
p12,prac_feat,feat_grid,0,1,45,dist_class2,-112.0,341.0
p12,prac_feat,feat_grid,0,1,46,targ_class2,-3.0,307.0
p12,prac_feat,feat_grid,0,1,47,dist_class1,109.0,330.0
p12,prac_feat,feat_grid,0,1,48,targ_class1,215.0,323.0
p12,prac_feat,feat_grid,0,1,49,dist_class1,345.0,305.0
p12,prac_feat,feat_grid,1,1,1,targ_class1,-315.0,-328.0
p12,prac_feat,feat_grid,1,1,2,dist_class2,-205.0,-310.0
p12,prac_feat,feat_grid,1,1,3,dist_class1,-98.0,-334.0
p12,prac_feat,feat_grid,1,1,4,dist_class2,3.0,-319.0
p12,prac_feat,feat_grid,1,1,5,dist_class1,122.0,-339.0
p12,prac_feat,feat_grid,1,1,6,dist_class1,207.0,-320.0
p12,prac_feat,feat_grid,1,1,7,targ_class1,329.0,-332.0
p12,prac_feat,feat_grid,1,1,8,dist_class1,-323.0,-231.0
p12,prac_feat,feat_grid,1,1,9,targ_class1,-207.0,-221.0
p12,prac_feat,feat_grid,1,1,10,targ_class2,-102.0,-223.0
p12,prac_feat,feat_grid,1,1,11,dist_class2,-13.0,-207.0
p12,prac_feat,feat_grid,1,1,12,dist_class2,125.0,-212.0
p12,prac_feat,feat_grid,1,1,13,targ_class1,221.0,-206.0
p12,prac_feat,feat_grid,1,1,14,dist_class2,327.0,-213.0
p12,prac_feat,feat_grid,1,1,15,dist_class1,-323.0,-112.0
p12,prac_feat,feat_grid,1,1,16,targ_class1,-218.0,-112.0
p12,prac_feat,feat_grid,1,1,17,targ_class1,-111.0,-106.0
p12,prac_feat,feat_grid,1,1,18,dist_class2,-8.0,-110.0
p12,prac_feat,feat_grid,1,1,19,targ_class1,102.0,-106.0
p12,prac_feat,feat_grid,1,1,20,targ_class1,214.0,-107.0
p12,prac_feat,feat_grid,1,1,21,dist_class1,344.0,-100.0
p12,prac_feat,feat_grid,1,1,22,targ_class2,-330.0,2.0
p12,prac_feat,feat_grid,1,1,23,targ_class2,-213.0,0.0
p12,prac_feat,feat_grid,1,1,24,dist_class2,-107.0,-5.0
p12,prac_feat,feat_grid,1,1,25,dist_class1,-3.0,-1.0
p12,prac_feat,feat_grid,1,1,26,targ_class1,105.0,-4.0
p12,prac_feat,feat_grid,1,1,27,targ_class2,231.0,2.0
p12,prac_feat,feat_grid,1,1,28,targ_class2,329.0,11.0
p12,prac_feat,feat_grid,1,1,29,targ_class2,-309.0,115.0
p12,prac_feat,feat_grid,1,1,30,dist_class1,-218.0,99.0
p12,prac_feat,feat_grid,1,1,31,dist_class1,-105.0,99.0
p12,prac_feat,feat_grid,1,1,32,targ_class1,-1.0,84.0
p12,prac_feat,feat_grid,1,1,33,dist_class1,104.0,105.0
p12,prac_feat,feat_grid,1,1,34,targ_class1,229.0,117.0
p12,prac_feat,feat_grid,1,1,35,dist_class2,327.0,105.0
p12,prac_feat,feat_grid,1,1,36,targ_class2,-307.0,217.0
p12,prac_feat,feat_grid,1,1,37,dist_class2,-206.0,222.0
p12,prac_feat,feat_grid,1,1,38,dist_class1,-103.0,210.0
p12,prac_feat,feat_grid,1,1,39,dist_class1,-3.0,205.0
p12,prac_feat,feat_grid,1,1,40,targ_class2,107.0,220.0
p12,prac_feat,feat_grid,1,1,41,targ_class2,216.0,200.0
p12,prac_feat,feat_grid,1,1,42,targ_class2,325.0,227.0
p12,prac_feat,feat_grid,1,1,43,targ_class1,-324.0,325.0
p12,prac_feat,feat_grid,1,1,44,dist_class2,-214.0,320.0
p12,prac_feat,feat_grid,1,1,45,dist_class2,-87.0,314.0
p12,prac_feat,feat_grid,1,1,46,targ_class2,17.0,310.0
p12,prac_feat,feat_grid,1,1,47,dist_class2,98.0,329.0
p12,prac_feat,feat_grid,1,1,48,targ_class2,208.0,335.0
p12,prac_feat,feat_grid,1,1,49,dist_class2,313.0,327.0
p12,feature_blocks,feat_rot,0,1,1,targ_class1,17.0,-470.0
p12,feature_blocks,feat_rot,0,1,2,dist_class1,67.0,-379.0
p12,feature_blocks,feat_rot,0,1,3,targ_class2,146.0,-307.0
p12,feature_blocks,feat_rot,0,1,4,dist_class1,230.0,-225.0
p12,feature_blocks,feat_rot,0,1,5,targ_class2,314.0,-151.0
p12,feature_blocks,feat_rot,0,1,6,dist_class1,360.0,-95.0
p12,feature_blocks,feat_rot,0,1,7,targ_class2,474.0,0.0
