person,block,condition,trial,attempt,id,found,score,item_class,x,y,rt
14,prac2_conj,conj_grid,1,1,18,0,0,dist_class2,-1.0,-128.0,10.04
14,prac2_conj,conj_grid,1,2,18,1,0,targ_class2,-9.0,-116.0,1.1
14,prac2_conj,conj_grid,1,2,10,2,0,targ_class2,-121.0,-205.0,5.53
14,prac2_conj,conj_grid,1,2,17,0,0,dist_class1,-98.0,-127.0,10.63
14,prac2_conj,conj_grid,1,3,23,1,0,targ_class2,-215.0,-8.0,3.63
14,prac2_conj,conj_grid,1,3,9,2,0,targ_class1,-205.0,-222.0,4.47
14,prac2_conj,conj_grid,1,3,24,3,0,targ_class1,-111.0,-14.0,5.17
14,prac2_conj,conj_grid,1,3,31,4,0,targ_class2,-104.0,109.0,6.2
14,prac2_conj,conj_grid,1,3,30,5,0,targ_class1,-214.0,110.0,8.3
14,prac2_conj,conj_grid,1,3,37,6,0,targ_class2,-223.0,222.0,9.9
14,prac2_conj,conj_grid,1,3,39,0,0,dist_class1,9.0,201.0,10.77
14,prac2_conj,conj_grid,1,4,23,1,0,targ_class2,-220.0,19.0,2.27
14,prac2_conj,conj_grid,1,4,30,2,0,targ_class2,-230.0,101.0,2.87
14,prac2_conj,conj_grid,1,4,24,3,0,targ_class2,-111.0,23.0,3.37
14,prac2_conj,conj_grid,1,4,31,4,0,targ_class2,-104.0,109.0,3.77
14,prac2_conj,conj_grid,1,4,38,5,0,targ_class2,-131.0,195.0,4.14
14,prac2_conj,conj_grid,1,4,25,6,0,targ_class1,-2.0,15.0,5.27
14,prac2_conj,conj_grid,1,4,10,7,0,targ_class1,-104.0,-223.0,5.9
14,prac2_conj,conj_grid,1,4,8,8,0,targ_class1,-315.0,-206.0,6.6
14,prac2_conj,conj_grid,1,4,1,9,0,targ_class1,-336.0,-335.0,8.03
14,prac2_conj,conj_grid,1,4,37,10,0,targ_class1,-219.0,213.0,8.87
14,prac2_conj,conj_grid,1,4,44,11,0,targ_class1,-223.0,330.0,9.53
14,prac2_conj,conj_grid,1,4,39,12,0,targ_class2,6.0,219.0,10.73
14,prac2_conj,conj_grid,1,4,48,13,0,targ_class2,211.0,326.0,11.47
14,prac2_conj,conj_grid,1,4,35,14,0,targ_class2,319.0,118.0,12.3
14,prac2_conj,conj_grid,1,4,34,15,0,targ_class2,222.0,113.0,12.9
14,prac2_conj,conj_grid,1,4,27,16,0,targ_class2,212.0,2.0,13.23
14,prac2_conj,conj_grid,1,4,21,17,0,targ_class2,329.0,-102.0,15.53
14,prac2_conj,conj_grid,1,4,28,18,0,targ_class1,317.0,1.0,16.0
14,prac2_conj,conj_grid,1,4,33,19,0,targ_class1,125.0,112.0,16.6
14,prac2_conj,conj_grid,1,4,7,0,0,dist_class1,322.0,-319.0,17.86
14,prac2_conj,conj_grid,1,5,23,0,0,dist_class2,-215.0,17.0,2.67
14,prac2_conj,conj_grid,1,6,43,1,0,targ_class2,-338.0,290.0,3.54
14,prac2_conj,conj_grid,1,6,38,2,0,targ_class2,-111.0,227.0,4.5
