,attribute,cond1,cond2,cond3,cond4,cond5,cond6
0,label,feat_grid,feat_rot,feat_uni,conj_grid,conj_rot,conj_uni
1,n_row,7,7,7,7,7,7
2,n_col,7,7,7,7,7,7
3,placement_rule,cardinal,rotated,uniform,cardinal,rotated,uniform
4,prop_target,0.5,0.5,0.5,0.5,0.5,0.5
5,prop_targ1,0.5,0.5,0.5,0.5,0.5,0.5
6,prop_dist1,0.5,0.5,0.5,0.5,0.5,0.5
7,n_targ_class,2,2,2,2,2,2
8,n_dist_class,2,2,2,2,2,2
9,stopping_rule,exhaustive,exhaustive,exhaustive,exhaustive,exhaustive,exhaustive
10,point_threshold,100,100,100,100,100,100
11,max_time,90,90,90,90,90,90
12,distracter_click,recycle,recycle,recycle,recycle,recycle,recycle
13,display_line,off,off,off,off,off,off
14,display_feedback,off,off,off,off,off,off
15,targ1_col,White,White,White,Navy,Navy,Navy
16,targ2_col,Coral,Coral,Coral,White,White,White
17,dist1_col,PaleVioletRed,PaleVioletRed,PaleVioletRed,White,White,White
18,dist2_col,Navy,Navy,Navy,Navy,Navy,Navy
19,targ1_shape,4,4,4,4,4,4
20,targ2_shape,4,4,4,3,3,3
21,dist1_shape,4,4,4,4,4,4
22,dist2_shape,4,4,4,3,3,3
23,targ1_points,0,0,0,0,0,0
24,targ2_points,0,0,0,0,0,0
25,dist1_points,0,0,0,0,0,0
26,dist2_points,0,0,0,0,0,0
