person,block,condition,trial,attempt,id,found,score,item_class,x,y,rt
27,prac2_conj,conj_grid,0,1,10,1,0,targ_class1,-124.0,-224.0,8.19
27,prac2_conj,conj_grid,0,1,18,2,0,targ_class1,-9.0,-102.0,9.29
27,prac2_conj,conj_grid,0,1,24,3,0,targ_class1,-106.0,3.0,9.85
27,prac2_conj,conj_grid,0,1,30,4,0,targ_class1,-219.0,115.0,11.22
27,prac2_conj,conj_grid,0,1,15,5,0,targ_class1,-328.0,-97.0,12.34
27,prac2_conj,conj_grid,0,1,3,6,0,targ_class1,-100.0,-314.0,13.03
27,prac2_conj,conj_grid,0,1,4,7,0,targ_class1,12.0,-328.0,14.11
27,prac2_conj,conj_grid,0,1,8,8,0,targ_class1,-333.0,-223.0,14.82
27,prac2_conj,conj_grid,0,1,48,9,0,targ_class1,215.0,324.0,16.11
27,prac2_conj,conj_grid,0,1,46,10,0,targ_class1,6.0,332.0,17.1
27,prac2_conj,conj_grid,0,1,38,11,0,targ_class1,-112.0,217.0,18.07
27,prac2_conj,conj_grid,0,1,20,12,0,targ_class2,227.0,-111.0,19.71
27,prac2_conj,conj_grid,0,1,14,13,0,targ_class2,319.0,-212.0,20.58
27,prac2_conj,conj_grid,0,1,1,14,0,targ_class2,-324.0,-326.0,21.76
27,prac2_conj,conj_grid,0,1,9,15,0,targ_class2,-232.0,-219.0,22.42
27,prac2_conj,conj_grid,0,1,16,16,0,targ_class2,-193.0,-113.0,24.27
27,prac2_conj,conj_grid,0,1,17,17,0,targ_class2,-113.0,-104.0,25.03
27,prac2_conj,conj_grid,0,1,25,18,0,targ_class2,1.0,9.0,25.93
27,prac2_conj,conj_grid,0,1,29,19,0,targ_class2,-338.0,116.0,26.82
27,prac2_conj,conj_grid,0,1,36,20,0,targ_class2,-313.0,230.0,27.35
27,prac2_conj,conj_grid,0,1,31,21,0,targ_class2,-116.0,129.0,29.3
27,prac2_conj,conj_grid,0,1,34,22,0,targ_class2,217.0,105.0,30.07
27,prac2_conj,conj_grid,0,1,27,23,0,targ_class2,220.0,11.0,30.83
27,prac2_conj,conj_grid,0,1,5,24,0,targ_class1,103.0,-324.0,34.67
27,prac2_conj,conj_grid,1,1,43,1,0,targ_class1,-329.0,342.0,1.31
27,prac2_conj,conj_grid,1,1,36,2,0,targ_class1,-303.0,208.0,1.94
27,prac2_conj,conj_grid,1,1,45,3,0,targ_class1,-126.0,330.0,2.67
27,prac2_conj,conj_grid,1,1,46,4,0,targ_class1,-9.0,331.0,3.39
27,prac2_conj,conj_grid,1,1,22,5,0,targ_class1,-345.0,-3.0,4.54
27,prac2_conj,conj_grid,1,1,16,6,0,targ_class1,-210.0,-109.0,5.39
27,prac2_conj,conj_grid,1,1,3,7,0,targ_class1,-107.0,-327.0,6.16
27,prac2_conj,conj_grid,1,1,14,8,0,targ_class1,329.0,-238.0,7.78
27,prac2_conj,conj_grid,1,1,13,9,0,targ_class1,211.0,-220.0,8.88
27,prac2_conj,conj_grid,1,1,21,10,0,targ_class1,328.0,-113.0,9.99
27,prac2_conj,conj_grid,1,1,35,11,0,targ_class1,320.0,112.0,10.84
27,prac2_conj,conj_grid,1,1,26,12,0,targ_class1,113.0,19.0,12.3
27,prac2_conj,conj_grid,1,1,28,13,0,targ_class2,321.0,19.0,13.17
27,prac2_conj,conj_grid,1,1,33,14,0,targ_class2,113.0,92.0,13.98
27,prac2_conj,conj_grid,1,1,40,15,0,targ_class2,106.0,203.0,14.86
27,prac2_conj,conj_grid,1,1,47,16,0,targ_class2,109.0,325.0,15.59
27,prac2_conj,conj_grid,1,1,49,17,0,targ_class2,326.0,317.0,17.71
27,prac2_conj,conj_grid,1,1,38,18,0,targ_class2,-107.0,209.0,18.64
27,prac2_conj,conj_grid,1,1,32,19,0,targ_class2,-12.0,93.0,19.47
27,prac2_conj,conj_grid,1,1,25,20,0,targ_class2,4.0,4.0,20.09
27,prac2_conj,conj_grid,1,1,24,21,0,targ_class2,-113.0,-1.0,20.78
27,prac2_conj,conj_grid,1,1,9,22,0,targ_class2,-223.0,-211.0,21.67
27,prac2_conj,conj_grid,1,1,12,23,0,targ_class2,93.0,-221.0,22.46
27,prac2_conj,conj_grid,1,1,5,24,0,targ_class2,112.0,-334.0,23.0
27,conjunction_blocks,conj_rot,1,1,39,1,0,targ_class1,-180.0,157.0,1.01
27,conjunction_blocks,conj_rot,1,1,46,2,0,targ_class1,-244.0,252.0,1.6
27,conjunction_blocks,conj_rot,1,1,32,3,0,targ_class1,-75.0,90.0,2.2
27,conjunction_blocks,conj_rot,1,1,36,4,0,targ_class1,-381.0,-55.0,3.19
27,conjunction_blocks,conj_rot,1,1,23,5,0,targ_class1,-155.0,-158.0,3.91
27,conjunction_blocks,conj_rot,1,1,29,6,0,targ_class1,-307.0,-161.0,4.64
27,conjunction_blocks,conj_rot,1,1,15,7,0,targ_class1,-148.0,-314.0,5.21
27,conjunction_blocks,conj_rot,1,1,17,8,0,targ_class1,-7.0,-153.0,6.03
27,conjunction_blocks,conj_rot,1,1,18,9,0,targ_class1,71.0,-70.0,6.58
27,conjunction_blocks,conj_rot,1,1,3,10,0,targ_class1,153.0,-319.0,7.42
27,conjunction_blocks,conj_rot,1,1,4,11,0,targ_class1,246.0,-231.0,8.11
27,conjunction_blocks,conj_rot,1,1,35,12,0,targ_class1,150.0,301.0,9.05
27,conjunction_blocks,conj_rot,1,1,28,13,0,targ_class2,230.0,250.0,9.82
27,conjunction_blocks,conj_rot,1,1,14,14,0,targ_class2,382.0,64.0,10.65
27,conjunction_blocks,conj_rot,1,1,13,15,0,targ_class2,285.0,-15.0,11.43
27,conjunction_blocks,conj_rot,1,1,41,16,0,targ_class2,0.0,308.0,13.05
27,conjunction_blocks,conj_rot,1,1,34,17,0,targ_class2,96.0,233.0,13.65
27,conjunction_blocks,conj_rot,1,1,48,18,0,targ_class2,-70.0,382.0,14.52
27,conjunction_blocks,conj_rot,1,1,40,19,0,targ_class2,-75.0,238.0,15.35
27,conjunction_blocks,conj_rot,1,1,31,20,0,targ_class2,-139.0,-13.0,16.1
27,conjunction_blocks,conj_rot,1,1,16,21,0,targ_class2,-83.0,-229.0,16.81
27,conjunction_blocks,conj_rot,1,1,9,22,0,targ_class2,6.0,-329.0,17.47
27,conjunction_blocks,conj_rot,1,1,1,23,0,targ_class2,-2.0,-448.0,18.09
27,conjunction_blocks,conj_rot,1,1,2,24,0,targ_class2,89.0,-373.0,19.37
27,conjunction_blocks,conj_grid,0,1,43,1,0,targ_class1,-311.0,324.0,1.08
27,conjunction_blocks,conj_grid,0,1,36,2,0,targ_class1,-324.0,214.0,1.78
