person,block,condition,trial,attempt,id,item_class,x,y
31,prac2_conj,conj_grid,0,1,1,targ_class1,-339.0,-312.0
31,prac2_conj,conj_grid,0,1,2,targ_class1,-225.0,-305.0
31,prac2_conj,conj_grid,0,1,3,dist_class2,-103.0,-331.0
31,prac2_conj,conj_grid,0,1,4,dist_class2,4.0,-326.0
31,prac2_conj,conj_grid,0,1,5,dist_class1,103.0,-318.0
31,prac2_conj,conj_grid,0,1,6,dist_class2,223.0,-346.0
31,prac2_conj,conj_grid,0,1,7,targ_class2,330.0,-310.0
31,prac2_conj,conj_grid,0,1,8,targ_class1,-321.0,-222.0
31,prac2_conj,conj_grid,0,1,9,targ_class2,-226.0,-216.0
31,prac2_conj,conj_grid,0,1,10,targ_class1,-110.0,-239.0
31,prac2_conj,conj_grid,0,1,11,dist_class1,2.0,-221.0
31,prac2_conj,conj_grid,0,1,12,dist_class1,118.0,-230.0
31,prac2_conj,conj_grid,0,1,13,targ_class1,206.0,-219.0
31,prac2_conj,conj_grid,0,1,14,dist_class2,328.0,-214.0
31,prac2_conj,conj_grid,0,1,15,dist_class1,-329.0,-108.0
31,prac2_conj,conj_grid,0,1,16,dist_class2,-211.0,-104.0
31,prac2_conj,conj_grid,0,1,17,targ_class1,-103.0,-134.0
31,prac2_conj,conj_grid,0,1,18,targ_class1,-11.0,-106.0
31,prac2_conj,conj_grid,0,1,19,dist_class2,119.0,-126.0
31,prac2_conj,conj_grid,0,1,20,targ_class2,205.0,-107.0
31,prac2_conj,conj_grid,0,1,21,dist_class1,314.0,-86.0
31,prac2_conj,conj_grid,0,1,22,dist_class1,-332.0,-2.0
31,prac2_conj,conj_grid,0,1,23,targ_class2,-222.0,-1.0
31,prac2_conj,conj_grid,0,1,24,dist_class2,-109.0,0.0
31,prac2_conj,conj_grid,0,1,25,dist_class2,16.0,-19.0
31,prac2_conj,conj_grid,0,1,26,dist_class1,89.0,-8.0
31,prac2_conj,conj_grid,0,1,27,targ_class1,209.0,-13.0
31,prac2_conj,conj_grid,0,1,28,dist_class1,321.0,-2.0
31,prac2_conj,conj_grid,0,1,29,dist_class2,-318.0,105.0
