person,block,condition,trial,attempt,id,found,score,item_class,x,y,rt
5,prac2_conj,conj_grid,1,1,42,1,0,targ_class1,303.0,213.0,2.64
5,prac2_conj,conj_grid,1,1,33,2,0,targ_class1,93.0,107.0,3.97
5,prac2_conj,conj_grid,1,1,31,3,0,targ_class1,-110.0,103.0,5.07
5,prac2_conj,conj_grid,1,1,24,4,0,targ_class1,-105.0,4.0,5.57
5,prac2_conj,conj_grid,1,1,22,5,0,targ_class1,-312.0,9.0,6.63
5,prac2_conj,conj_grid,1,1,23,6,0,targ_class1,-211.0,-18.0,7.13
5,prac2_conj,conj_grid,1,1,32,7,0,targ_class1,-7.0,99.0,7.87
5,prac2_conj,conj_grid,1,1,28,8,0,targ_class1,333.0,-1.0,8.7
5,prac2_conj,conj_grid,1,1,11,9,0,targ_class1,2.0,-210.0,9.7
5,prac2_conj,conj_grid,1,1,10,10,0,targ_class1,-117.0,-216.0,10.4
5,prac2_conj,conj_grid,1,1,7,11,0,targ_class1,348.0,-324.0,11.6
5,prac2_conj,conj_grid,1,1,5,12,0,targ_class1,100.0,-332.0,12.43
5,prac2_conj,conj_grid,1,1,14,13,0,targ_class2,333.0,-210.0,13.63
5,prac2_conj,conj_grid,1,1,21,14,0,targ_class2,317.0,-114.0,14.17
5,prac2_conj,conj_grid,1,1,19,15,0,targ_class2,112.0,-100.0,14.8
5,prac2_conj,conj_grid,1,1,27,16,0,targ_class2,230.0,1.0,15.4
5,prac2_conj,conj_grid,1,1,34,17,0,targ_class2,223.0,116.0,16.0
5,prac2_conj,conj_grid,1,1,35,18,0,targ_class2,326.0,120.0,16.53
5,prac2_conj,conj_grid,1,1,40,19,0,targ_class2,99.0,221.0,17.13
5,prac2_conj,conj_grid,1,1,39,20,0,targ_class2,14.0,228.0,17.67
5,prac2_conj,conj_grid,1,1,45,21,0,targ_class2,-123.0,305.0,18.48
5,prac2_conj,conj_grid,1,1,17,22,0,targ_class2,-115.0,-99.0,19.92
5,prac2_conj,conj_grid,1,1,25,23,0,targ_class2,-1.0,15.0,20.5
5,prac2_conj,conj_grid,1,1,2,24,0,targ_class2,-226.0,-317.0,21.28
5,prac2_conj,conj_grid,0,1,47,1,0,targ_class1,111.0,327.0,1.5
5,prac2_conj,conj_grid,0,1,39,2,0,targ_class1,2.0,206.0,2.07
5,prac2_conj,conj_grid,0,1,32,3,0,targ_class1,2.0,98.0,2.57
5,prac2_conj,conj_grid,0,1,45,4,0,targ_class1,-111.0,315.0,3.2
5,prac2_conj,conj_grid,0,1,24,5,0,targ_class1,-112.0,-12.0,3.9
5,prac2_conj,conj_grid,0,1,25,6,0,targ_class1,18.0,-3.0,4.57
5,prac2_conj,conj_grid,0,1,17,7,0,targ_class1,-110.0,-115.0,5.2
5,prac2_conj,conj_grid,0,1,10,8,0,targ_class1,-94.0,-213.0,5.9
5,prac2_conj,conj_grid,0,1,11,9,0,targ_class1,-10.0,-218.0,6.37
5,prac2_conj,conj_grid,0,1,12,10,0,targ_class1,106.0,-218.0,6.87
5,prac2_conj,conj_grid,0,1,7,11,0,targ_class1,336.0,-328.0,7.5
5,prac2_conj,conj_grid,0,1,8,12,0,targ_class1,-306.0,-209.0,8.4
5,prac2_conj,conj_grid,0,1,37,13,0,targ_class2,-224.0,224.0,9.6
5,prac2_conj,conj_grid,0,1,30,14,0,targ_class2,-229.0,102.0,10.07
5,prac2_conj,conj_grid,0,1,23,15,0,targ_class2,-193.0,1.0,10.5
5,prac2_conj,conj_grid,0,1,16,16,0,targ_class2,-204.0,-114.0,11.0
