person,block,condition,trial,attempt,id,found,score,item_class,x,y,rt
8,prac_feat,feat_grid,0,1,18,1,0,targ_class1,-9.0,-99.0,1.3
8,prac_feat,feat_grid,0,1,24,2,0,targ_class2,-96.0,10.0,2.1
8,prac_feat,feat_grid,0,1,31,3,0,targ_class2,-110.0,121.0,2.67
8,prac_feat,feat_grid,0,1,44,4,0,targ_class1,-235.0,325.0,3.8
8,prac_feat,feat_grid,0,1,37,5,0,targ_class1,-221.0,210.0,4.27
8,prac_feat,feat_grid,0,1,36,6,0,targ_class2,-321.0,202.0,4.9
8,prac_feat,feat_grid,0,1,29,7,0,targ_class2,-336.0,116.0,5.37
8,prac_feat,feat_grid,0,1,22,8,0,targ_class1,-330.0,-7.0,5.77
8,prac_feat,feat_grid,0,1,15,9,0,targ_class2,-311.0,-95.0,6.3
8,prac_feat,feat_grid,0,1,8,10,0,targ_class2,-320.0,-210.0,7.0
8,prac_feat,feat_grid,0,1,1,11,0,targ_class2,-322.0,-319.0,7.4
8,prac_feat,feat_grid,0,1,2,12,0,targ_class2,-212.0,-329.0,7.8
8,prac_feat,feat_grid,0,1,9,13,0,targ_class1,-217.0,-220.0,8.23
8,prac_feat,feat_grid,0,1,12,14,0,targ_class1,122.0,-206.0,9.1
8,prac_feat,feat_grid,0,1,14,15,0,targ_class1,330.0,-218.0,9.7
8,prac_feat,feat_grid,0,1,7,16,0,targ_class1,317.0,-324.0,10.07
8,prac_feat,feat_grid,0,1,28,17,0,targ_class2,336.0,3.0,10.87
8,prac_feat,feat_grid,0,1,27,18,0,targ_class2,225.0,5.0,11.1
8,prac_feat,feat_grid,0,1,26,19,0,targ_class2,122.0,-10.0,11.98
8,prac_feat,feat_grid,0,1,25,20,0,targ_class2,15.0,7.0,12.68
8,prac_feat,feat_grid,0,1,40,21,0,targ_class1,114.0,225.0,13.52
8,prac_feat,feat_grid,0,1,41,22,0,targ_class1,219.0,223.0,14.0
8,prac_feat,feat_grid,0,1,49,23,0,targ_class1,327.0,316.0,14.55
8,prac_feat,feat_grid,0,1,35,24,0,targ_class1,320.0,105.0,15.07
8,prac_feat,feat_grid,1,1,25,1,0,targ_class1,23.0,1.0,0.7
8,prac_feat,feat_grid,1,1,18,2,0,targ_class2,-5.0,-101.0,1.13
8,prac_feat,feat_grid,1,1,19,3,0,targ_class2,94.0,-114.0,1.5
8,prac_feat,feat_grid,1,1,12,4,0,targ_class2,112.0,-206.0,1.87
8,prac_feat,feat_grid,1,1,20,5,0,targ_class1,213.0,-110.0,3.2
8,prac_feat,feat_grid,1,1,13,6,0,targ_class1,202.0,-233.0,3.63
8,prac_feat,feat_grid,1,1,6,7,0,targ_class1,221.0,-336.0,4.4
8,prac_feat,feat_grid,1,1,7,8,0,targ_class2,335.0,-322.0,5.0
8,prac_feat,feat_grid,1,1,14,9,0,targ_class2,319.0,-214.0,5.47
8,prac_feat,feat_grid,1,1,28,10,0,targ_class2,321.0,-1.0,6.9
8,prac_feat,feat_grid,1,1,35,11,0,targ_class2,330.0,97.0,7.37
8,prac_feat,feat_grid,1,1,41,12,0,targ_class2,222.0,225.0,7.9
8,prac_feat,feat_grid,1,1,47,13,0,targ_class1,110.0,314.0,8.74
8,prac_feat,feat_grid,1,1,46,14,0,targ_class2,2.0,338.0,9.1
8,prac_feat,feat_grid,1,1,39,15,0,targ_class2,-6.0,222.0,9.5
8,prac_feat,feat_grid,1,1,37,16,0,targ_class1,-214.0,209.0,10.1
8,prac_feat,feat_grid,1,1,36,17,0,targ_class2,-322.0,215.0,10.77
8,prac_feat,feat_grid,1,1,30,18,0,targ_class1,-215.0,121.0,11.87
8,prac_feat,feat_grid,1,1,29,19,0,targ_class1,-329.0,101.0,12.37
8,prac_feat,feat_grid,1,1,15,20,0,targ_class1,-343.0,-88.0,13.07
8,prac_feat,feat_grid,1,1,8,21,0,targ_class1,-341.0,-207.0,13.77
8,prac_feat,feat_grid,1,1,9,22,0,targ_class2,-215.0,-204.0,14.18
8,prac_feat,feat_grid,1,1,2,23,0,targ_class1,-224.0,-326.0,14.58
8,prac_feat,feat_grid,1,1,10,24,0,targ_class1,-105.0,-212.0,15.13
8,feature_blocks,feat_uni,0,1,1,1,0,targ_class1,-95.0,-3.0,0.8
8,feature_blocks,feat_uni,0,1,39,2,0,targ_class1,-146.0,-97.0,1.17
8,feature_blocks,feat_uni,0,1,18,3,0,targ_class2,-304.0,-150.0,1.8
8,feature_blocks,feat_uni,0,1,30,4,0,targ_class2,-219.0,-312.0,2.57
8,feature_blocks,feat_uni,0,1,10,5,0,targ_class1,81.0,-246.0,3.17
8,feature_blocks,feat_uni,0,1,24,6,0,targ_class2,73.0,-189.0,3.5
8,feature_blocks,feat_uni,0,1,28,7,0,targ_class2,45.0,-102.0,3.93
8,feature_blocks,feat_uni,0,1,36,8,0,targ_class1,188.0,-161.0,4.44
8,feature_blocks,feat_uni,0,1,8,9,0,targ_class2,283.0,-68.0,5.03
8,feature_blocks,feat_uni,0,1,45,10,0,targ_class2,243.0,28.0,5.47
8,feature_blocks,feat_uni,0,1,27,11,0,targ_class1,130.0,4.0,5.83
8,feature_blocks,feat_uni,0,1,37,12,0,targ_class1,-134.0,84.0,6.37
8,feature_blocks,feat_uni,0,1,3,13,0,targ_class1,-90.0,159.0,6.8
8,feature_blocks,feat_uni,0,1,6,14,0,targ_class2,-35.0,191.0,7.3
8,feature_blocks,feat_uni,0,1,23,15,0,targ_class2,-78.0,226.0,8.17
8,feature_blocks,feat_uni,0,1,38,16,0,targ_class1,-46.0,272.0,9.0
8,feature_blocks,feat_uni,0,1,12,17,0,targ_class2,-88.0,344.0,9.6
8,feature_blocks,feat_uni,0,1,42,18,0,targ_class2,-271.0,361.0,10.43
8,feature_blocks,feat_uni,0,1,46,19,0,targ_class1,-271.0,305.0,10.77
8,feature_blocks,feat_uni,0,1,13,20,0,targ_class1,-192.0,315.0,11.1
8,feature_blocks,feat_uni,0,1,29,21,0,targ_class2,-195.0,252.0,11.45
8,feature_blocks,feat_uni,0,1,34,22,0,targ_class2,192.0,300.0,12.13
8,feature_blocks,feat_uni,0,1,16,23,0,targ_class1,252.0,289.0,12.53
8,feature_blocks,feat_uni,0,1,20,24,0,targ_class1,335.0,258.0,12.98
8,feature_blocks,feat_rot,3,1,25,1,0,targ_class2,-1.0,5.0,0.37
8,feature_blocks,feat_rot,3,1,24,2,0,targ_class1,-81.0,-84.0,0.8
8,feature_blocks,feat_rot,3,1,31,3,0,targ_class1,-149.0,15.0,1.17
8,feature_blocks,feat_rot,3,1,30,4,0,targ_class1,-235.0,-81.0,1.6
8,feature_blocks,feat_rot,3,1,37,5,0,targ_class1,-321.0,2.0,1.94
8,feature_blocks,feat_rot,3,1,44,6,0,targ_class1,-380.0,82.0,2.24
8,feature_blocks,feat_rot,3,1,43,7,0,targ_class2,-453.0,0.0,2.64
8,feature_blocks,feat_rot,3,1,29,8,0,targ_class2,-322.0,-163.0,3.17
8,feature_blocks,feat_rot,3,1,22,9,0,targ_class1,-240.0,-205.0,3.57
8,feature_blocks,feat_rot,3,1,16,10,0,targ_class2,-62.0,-236.0,3.93
8,feature_blocks,feat_rot,3,1,17,11,0,targ_class1,3.0,-164.0,4.43
8,feature_blocks,feat_rot,3,1,9,12,0,targ_class2,-1.0,-312.0,4.9
8,feature_blocks,feat_rot,3,1,10,13,0,targ_class2,75.0,-216.0,5.4
8,feature_blocks,feat_rot,3,1,11,14,0,targ_class1,158.0,-137.0,5.73
8,feature_blocks,feat_rot,3,1,3,15,0,targ_class1,158.0,-305.0,6.3
8,feature_blocks,feat_rot,3,1,4,16,0,targ_class2,245.0,-234.0,6.9
8,feature_blocks,feat_rot,3,1,7,17,0,targ_class2,465.0,-9.0,8.0
8,feature_blocks,feat_rot,3,1,6,18,0,targ_class1,378.0,-67.0,8.4
8,feature_blocks,feat_rot,3,1,20,19,0,targ_class2,236.0,82.0,9.0
8,feature_blocks,feat_rot,3,1,26,20,0,targ_class2,71.0,76.0,9.4
8,feature_blocks,feat_rot,3,1,34,21,0,targ_class2,47.0,240.0,9.93
