person,block,condition,trial,attempt,id,item_class,x,y
8,prac_feat,feat_grid,0,1,1,targ_class2,-322.0,-319.0
8,prac_feat,feat_grid,0,1,2,targ_class2,-212.0,-329.0
8,prac_feat,feat_grid,0,1,3,dist_class2,-123.0,-312.0
8,prac_feat,feat_grid,0,1,4,dist_class1,4.0,-319.0
8,prac_feat,feat_grid,0,1,5,dist_class2,112.0,-319.0
8,prac_feat,feat_grid,0,1,6,dist_class1,212.0,-336.0
8,prac_feat,feat_grid,0,1,7,targ_class1,317.0,-324.0
8,prac_feat,feat_grid,0,1,8,targ_class2,-320.0,-210.0
8,prac_feat,feat_grid,0,1,9,targ_class1,-217.0,-220.0
8,prac_feat,feat_grid,0,1,10,dist_class2,-114.0,-212.0
8,prac_feat,feat_grid,0,1,11,dist_class1,-16.0,-235.0
8,prac_feat,feat_grid,0,1,12,targ_class1,122.0,-206.0
8,prac_feat,feat_grid,0,1,13,dist_class1,220.0,-219.0
8,prac_feat,feat_grid,0,1,14,targ_class1,330.0,-218.0
8,prac_feat,feat_grid,0,1,15,targ_class2,-311.0,-95.0
8,prac_feat,feat_grid,0,1,16,dist_class1,-237.0,-102.0
8,prac_feat,feat_grid,0,1,17,dist_class1,-92.0,-107.0
8,prac_feat,feat_grid,0,1,18,targ_class1,-9.0,-99.0
8,prac_feat,feat_grid,0,1,19,dist_class1,117.0,-101.0
8,prac_feat,feat_grid,0,1,20,dist_class2,226.0,-98.0
8,prac_feat,feat_grid,0,1,21,dist_class2,316.0,-103.0
8,prac_feat,feat_grid,0,1,22,targ_class1,-330.0,-7.0
8,prac_feat,feat_grid,0,1,23,dist_class2,-214.0,4.0
8,prac_feat,feat_grid,0,1,24,targ_class2,-96.0,10.0
8,prac_feat,feat_grid,0,1,25,targ_class2,15.0,7.0
8,prac_feat,feat_grid,0,1,26,targ_class2,122.0,-10.0
8,prac_feat,feat_grid,0,1,27,targ_class2,225.0,5.0
8,prac_feat,feat_grid,0,1,28,targ_class2,336.0,3.0
8,prac_feat,feat_grid,0,1,29,targ_class2,-336.0,116.0
8,prac_feat,feat_grid,0,1,30,dist_class2,-213.0,93.0
8,prac_feat,feat_grid,0,1,31,targ_class2,-110.0,121.0
8,prac_feat,feat_grid,0,1,32,dist_class1,-0.0,104.0
8,prac_feat,feat_grid,0,1,33,dist_class1,125.0,92.0
8,prac_feat,feat_grid,0,1,34,dist_class2,203.0,121.0
8,prac_feat,feat_grid,0,1,35,targ_class1,320.0,105.0
8,prac_feat,feat_grid,0,1,36,targ_class2,-321.0,202.0
8,prac_feat,feat_grid,0,1,37,targ_class1,-221.0,210.0
8,prac_feat,feat_grid,0,1,38,dist_class2,-118.0,217.0
8,prac_feat,feat_grid,0,1,39,dist_class2,19.0,213.0
8,prac_feat,feat_grid,0,1,40,targ_class1,114.0,225.0
8,prac_feat,feat_grid,0,1,41,targ_class1,219.0,223.0
8,prac_feat,feat_grid,0,1,42,dist_class2,328.0,242.0
8,prac_feat,feat_grid,0,1,43,dist_class1,-318.0,319.0
8,prac_feat,feat_grid,0,1,44,targ_class1,-235.0,325.0
8,prac_feat,feat_grid,0,1,45,dist_class1,-108.0,338.0
8,prac_feat,feat_grid,0,1,46,dist_class2,2.0,333.0
8,prac_feat,feat_grid,0,1,47,dist_class2,107.0,320.0
8,prac_feat,feat_grid,0,1,48,dist_class1,226.0,321.0
8,prac_feat,feat_grid,0,1,49,targ_class1,327.0,316.0
8,prac_feat,feat_grid,1,1,1,dist_class2,-323.0,-323.0
8,prac_feat,feat_grid,1,1,2,targ_class1,-224.0,-326.0
8,prac_feat,feat_grid,1,1,3,dist_class1,-108.0,-339.0
8,prac_feat,feat_grid,1,1,4,dist_class2,-14.0,-329.0
8,prac_feat,feat_grid,1,1,5,dist_class2,126.0,-317.0
8,prac_feat,feat_grid,1,1,6,targ_class1,221.0,-336.0
8,prac_feat,feat_grid,1,1,7,targ_class2,335.0,-322.0
8,prac_feat,feat_grid,1,1,8,targ_class1,-341.0,-207.0
8,prac_feat,feat_grid,1,1,9,targ_class2,-215.0,-204.0
8,prac_feat,feat_grid,1,1,10,targ_class1,-105.0,-212.0
8,prac_feat,feat_grid,1,1,11,dist_class2,9.0,-223.0
8,prac_feat,feat_grid,1,1,12,targ_class2,112.0,-206.0
8,prac_feat,feat_grid,1,1,13,targ_class1,202.0,-233.0
8,prac_feat,feat_grid,1,1,14,targ_class2,319.0,-214.0
8,prac_feat,feat_grid,1,1,15,targ_class1,-343.0,-88.0
8,prac_feat,feat_grid,1,1,16,dist_class2,-233.0,-95.0
8,prac_feat,feat_grid,1,1,17,dist_class2,-102.0,-112.0
8,prac_feat,feat_grid,1,1,18,targ_class2,-5.0,-101.0
8,prac_feat,feat_grid,1,1,19,targ_class2,94.0,-114.0
8,prac_feat,feat_grid,1,1,20,targ_class1,213.0,-110.0
8,prac_feat,feat_grid,1,1,21,dist_class1,327.0,-112.0
8,prac_feat,feat_grid,1,1,22,dist_class2,-320.0,1.0
8,prac_feat,feat_grid,1,1,23,dist_class2,-211.0,-6.0
8,prac_feat,feat_grid,1,1,24,dist_class1,-101.0,6.0
8,prac_feat,feat_grid,1,1,25,targ_class1,23.0,1.0
8,prac_feat,feat_grid,1,1,26,dist_class1,116.0,3.0
8,prac_feat,feat_grid,1,1,27,dist_class2,218.0,-6.0
8,prac_feat,feat_grid,1,1,28,targ_class2,321.0,-1.0
8,prac_feat,feat_grid,1,1,29,targ_class1,-329.0,101.0
8,prac_feat,feat_grid,1,1,30,targ_class1,-215.0,121.0
8,prac_feat,feat_grid,1,1,31,dist_class1,-93.0,122.0
8,prac_feat,feat_grid,1,1,32,dist_class1,-8.0,96.0
