person,block,condition,trial,attempt,id,item_class,x,y
9,prac_feat,feat_grid,1,1,1,dist_class2,-322.0,-317.0
9,prac_feat,feat_grid,1,1,2,targ_class1,-221.0,-309.0
9,prac_feat,feat_grid,1,1,3,dist_class1,-99.0,-310.0
9,prac_feat,feat_grid,1,1,4,targ_class1,-3.0,-321.0
9,prac_feat,feat_grid,1,1,5,dist_class1,106.0,-335.0
9,prac_feat,feat_grid,1,1,6,targ_class1,203.0,-328.0
9,prac_feat,feat_grid,1,1,7,targ_class2,330.0,-306.0
9,prac_feat,feat_grid,1,1,8,dist_class1,-312.0,-216.0
9,prac_feat,feat_grid,1,1,9,dist_class1,-217.0,-232.0
9,prac_feat,feat_grid,1,1,10,targ_class2,-107.0,-221.0
9,prac_feat,feat_grid,1,1,11,targ_class2,17.0,-207.0
9,prac_feat,feat_grid,1,1,12,dist_class2,96.0,-208.0
9,prac_feat,feat_grid,1,1,13,targ_class2,202.0,-217.0
9,prac_feat,feat_grid,1,1,14,targ_class2,332.0,-216.0
9,prac_feat,feat_grid,1,1,15,dist_class1,-324.0,-91.0
9,prac_feat,feat_grid,1,1,16,dist_class1,-225.0,-96.0
9,prac_feat,feat_grid,1,1,17,dist_class1,-106.0,-91.0
9,prac_feat,feat_grid,1,1,18,dist_class1,13.0,-108.0
9,prac_feat,feat_grid,1,1,19,dist_class2,108.0,-94.0
9,prac_feat,feat_grid,1,1,20,dist_class2,212.0,-119.0
9,prac_feat,feat_grid,1,1,21,targ_class2,316.0,-117.0
9,prac_feat,feat_grid,1,1,22,targ_class1,-318.0,0.0
9,prac_feat,feat_grid,1,1,23,dist_class2,-226.0,2.0
9,prac_feat,feat_grid,1,1,24,dist_class1,-95.0,-0.0
9,prac_feat,feat_grid,1,1,25,dist_class2,-5.0,5.0
9,prac_feat,feat_grid,1,1,26,targ_class1,102.0,-10.0
9,prac_feat,feat_grid,1,1,27,dist_class2,209.0,-3.0
9,prac_feat,feat_grid,1,1,28,targ_class1,307.0,-18.0
9,prac_feat,feat_grid,1,1,29,dist_class1,-319.0,93.0
9,prac_feat,feat_grid,1,1,30,targ_class2,-222.0,103.0
9,prac_feat,feat_grid,1,1,31,targ_class1,-106.0,121.0
9,prac_feat,feat_grid,1,1,32,dist_class1,14.0,100.0
9,prac_feat,feat_grid,1,1,33,dist_class2,106.0,99.0
9,prac_feat,feat_grid,1,1,34,targ_class2,214.0,102.0
9,prac_feat,feat_grid,1,1,35,dist_class2,340.0,103.0
9,prac_feat,feat_grid,1,1,36,dist_class2,-325.0,196.0
9,prac_feat,feat_grid,1,1,37,targ_class1,-216.0,217.0
9,prac_feat,feat_grid,1,1,38,dist_class2,-114.0,228.0
9,prac_feat,feat_grid,1,1,39,targ_class1,-4.0,213.0
9,prac_feat,feat_grid,1,1,40,targ_class2,87.0,221.0
9,prac_feat,feat_grid,1,1,41,targ_class1,204.0,208.0
9,prac_feat,feat_grid,1,1,42,dist_class2,321.0,232.0
9,prac_feat,feat_grid,1,1,43,targ_class1,-313.0,323.0
9,prac_feat,feat_grid,1,1,44,dist_class2,-208.0,311.0
9,prac_feat,feat_grid,1,1,45,targ_class1,-121.0,327.0
9,prac_feat,feat_grid,1,1,46,targ_class2,-37.0,322.0
9,prac_feat,feat_grid,1,1,47,targ_class2,99.0,323.0
9,prac_feat,feat_grid,1,1,48,dist_class1,213.0,311.0
9,prac_feat,feat_grid,1,1,49,targ_class2,313.0,322.0
9,prac_feat,feat_grid,0,1,1,dist_class1,-347.0,-325.0
9,prac_feat,feat_grid,0,1,2,targ_class1,-218.0,-322.0
9,prac_feat,feat_grid,0,1,3,dist_class2,-104.0,-318.0
9,prac_feat,feat_grid,0,1,4,targ_class2,-2.0,-337.0
9,prac_feat,feat_grid,0,1,5,targ_class1,106.0,-318.0
9,prac_feat,feat_grid,0,1,6,dist_class1,218.0,-325.0
9,prac_feat,feat_grid,0,1,7,dist_class2,311.0,-337.0
9,prac_feat,feat_grid,0,1,8,targ_class2,-325.0,-223.0
9,prac_feat,feat_grid,0,1,9,dist_class1,-202.0,-229.0
9,prac_feat,feat_grid,0,1,10,targ_class2,-91.0,-220.0
9,prac_feat,feat_grid,0,1,11,targ_class1,-9.0,-218.0
9,prac_feat,feat_grid,0,1,12,targ_class1,101.0,-237.0
9,prac_feat,feat_grid,0,1,13,targ_class2,224.0,-209.0
9,prac_feat,feat_grid,0,1,14,dist_class1,325.0,-222.0
9,prac_feat,feat_grid,0,1,15,dist_class2,-324.0,-122.0
9,prac_feat,feat_grid,0,1,16,dist_class2,-214.0,-88.0
9,prac_feat,feat_grid,0,1,17,dist_class1,-102.0,-83.0
9,prac_feat,feat_grid,0,1,18,targ_class2,7.0,-87.0
9,prac_feat,feat_grid,0,1,19,dist_class2,105.0,-111.0
9,prac_feat,feat_grid,0,1,20,targ_class1,212.0,-119.0
9,prac_feat,feat_grid,0,1,21,targ_class2,325.0,-111.0
9,prac_feat,feat_grid,0,1,22,dist_class2,-326.0,10.0
9,prac_feat,feat_grid,0,1,23,dist_class2,-206.0,-6.0
9,prac_feat,feat_grid,0,1,24,targ_class1,-102.0,6.0
9,prac_feat,feat_grid,0,1,25,dist_class2,10.0,-10.0
9,prac_feat,feat_grid,0,1,26,targ_class1,125.0,-2.0
9,prac_feat,feat_grid,0,1,27,dist_class2,210.0,8.0
9,prac_feat,feat_grid,0,1,28,dist_class2,321.0,19.0
9,prac_feat,feat_grid,0,1,29,dist_class2,-334.0,115.0
9,prac_feat,feat_grid,0,1,30,dist_class1,-206.0,98.0
