person,condition,trial,id,item_class,x,y,rt,trial_p
1,conj_grid,1,25,1,-14,0,1.44,1
1,conj_grid,1,11,1,-10,-207,2.93,1
1,conj_grid,1,18,1,11,-132,3.7,1
1,conj_grid,1,19,2,108,-92,4.67,1
1,conj_grid,1,26,2,100,-16,6.4,1
1,conj_grid,1,38,1,-101,222,7.87,1
1,conj_grid,1,43,1,-303,337,9.07,1
1,conj_grid,1,45,2,-113,321,10.54,1
1,conj_grid,1,48,1,218,322,13.57,1
1,conj_grid,1,42,1,328,227,14.47,1
1,conj_grid,1,40,1,110,220,15.2,1
1,conj_grid,1,37,2,-211,210,17.23,1
1,conj_grid,1,41,2,209,203,18.53,1
1,conj_grid,1,35,2,325,122,19.67,1
1,conj_grid,1,2,2,-204,-332,25.6,1
1,conj_grid,1,8,2,-316,-208,26.73,1
1,conj_grid,1,10,1,-105,-211,28.43,1
1,conj_grid,1,12,2,116,-215,30,1
1,conj_grid,1,13,1,219,-232,31.23,1
1,conj_grid,1,7,1,332,-313,32.2,1
1,conj_grid,1,31,2,-114,114,35.33,1
1,conj_grid,1,20,2,227,-119,36.83,1
1,conj_grid,1,30,1,-224,115,42.08,1
1,conj_grid,1,15,2,-327,-105,47.33,1
1,conj_grid,2,3,1,-100,-315,2.77,2
1,conj_grid,2,10,2,-120,-216,4.03,2
1,conj_grid,2,17,1,-112,-96,4.8,2
1,conj_grid,2,24,1,-110,-2,5.8,2
1,conj_grid,2,38,1,-120,210,6.8,2
1,conj_grid,2,37,1,-227,194,7.8,2
1,conj_grid,2,30,1,-213,114,8.8,2
1,conj_grid,2,36,2,-309,216,10.77,2
1,conj_grid,2,22,2,-320,-7,11.5,2
1,conj_grid,2,15,2,-320,-100,12.23,2
1,conj_grid,2,1,2,-335,-316,13.23,2
1,conj_grid,2,4,2,-7,-330,14.47,2
1,conj_grid,2,5,2,104,-324,15.3,2
1,conj_grid,2,11,2,-4,-216,16.23,2
1,conj_grid,2,7,1,331,-329,17.13,2
1,conj_grid,2,14,2,306,-239,18.23,2
1,conj_grid,2,35,1,336,117,19.57,2
1,conj_grid,2,16,1,-221,-101,22.85,2
1,conj_grid,2,47,2,87,343,25.98,2
1,conj_grid,2,46,2,13,313,27.12,2
1,conj_grid,2,44,1,-206,348,29.02,2
1,conj_grid,2,20,2,217,-117,31.45,2
1,conj_grid,2,33,1,105,105,34.2,2
1,conj_grid,2,40,1,103,201,36.8,2
1,conj_grid,3,29,1,-311,108,2.94,3
1,conj_grid,3,8,2,-333,-207,6.27,3
1,conj_grid,3,15,2,-323,-106,7.47,3
1,conj_grid,3,37,1,-223,211,8.77,3
1,conj_grid,3,45,1,-123,325,9.8,3
1,conj_grid,3,49,2,310,329,12.5,3
1,conj_grid,3,47,1,97,327,13.97,3
1,conj_grid,3,16,1,-206,-106,17.53,3
1,conj_grid,3,18,1,3,-116,18.47,3
