person,block,condition,trial,attempt,id,found,score,item_class,x,y,rt
21,prac2_conj,conj_grid,1,1,43,1,0,targ_class2,-329.0,311.0,3.74
21,prac2_conj,conj_grid,1,1,44,2,0,targ_class1,-192.0,314.0,4.35
21,prac2_conj,conj_grid,1,1,37,3,0,targ_class1,-220.0,216.0,4.9
21,prac2_conj,conj_grid,1,1,18,4,0,targ_class2,5.0,-112.0,8.34
21,prac2_conj,conj_grid,1,1,19,5,0,targ_class1,111.0,-135.0,8.8
21,prac2_conj,conj_grid,1,1,20,6,0,targ_class1,203.0,-134.0,9.15
21,prac2_conj,conj_grid,1,1,14,7,0,targ_class2,309.0,-209.0,9.8
21,prac2_conj,conj_grid,1,1,7,8,0,targ_class1,338.0,-340.0,10.62
21,prac2_conj,conj_grid,1,1,6,9,0,targ_class1,229.0,-347.0,11.1
21,prac2_conj,conj_grid,1,1,8,10,0,targ_class2,-310.0,-220.0,12.93
21,prac2_conj,conj_grid,1,1,10,11,0,targ_class1,-110.0,-233.0,14.04
21,prac2_conj,conj_grid,1,1,3,12,0,targ_class1,-99.0,-326.0,14.63
21,prac2_conj,conj_grid,1,1,28,13,0,targ_class2,345.0,-1.0,15.85
21,prac2_conj,conj_grid,1,1,35,14,0,targ_class2,337.0,107.0,17.12
21,prac2_conj,conj_grid,1,1,26,15,0,targ_class2,132.0,8.0,17.88
21,prac2_conj,conj_grid,1,1,33,16,0,targ_class1,102.0,121.0,18.3
21,prac2_conj,conj_grid,1,1,25,17,0,targ_class1,-19.0,15.0,18.82
21,prac2_conj,conj_grid,1,1,34,18,0,targ_class1,226.0,113.0,19.47
21,prac2_conj,conj_grid,1,1,32,19,0,targ_class2,3.0,120.0,19.99
21,prac2_conj,conj_grid,1,1,49,20,0,targ_class2,295.0,335.0,21.84
21,prac2_conj,conj_grid,1,1,47,21,0,targ_class2,89.0,335.0,22.5
21,prac2_conj,conj_grid,1,1,39,22,0,targ_class1,-4.0,201.0,23.45
21,prac2_conj,conj_grid,1,1,4,23,0,targ_class2,-11.0,-329.0,24.85
21,prac2_conj,conj_grid,1,1,15,24,0,targ_class2,-329.0,-99.0,26.23
21,prac2_conj,conj_grid,0,1,29,1,0,targ_class2,-322.0,132.0,2.83
21,prac2_conj,conj_grid,0,1,22,2,0,targ_class2,-342.0,21.0,3.27
21,prac2_conj,conj_grid,0,1,44,3,0,targ_class2,-204.0,319.0,3.99
21,prac2_conj,conj_grid,0,1,38,4,0,targ_class1,-115.0,209.0,4.39
21,prac2_conj,conj_grid,0,1,46,5,0,targ_class2,20.0,314.0,5.02
21,prac2_conj,conj_grid,0,1,40,6,0,targ_class1,110.0,243.0,5.67
21,prac2_conj,conj_grid,0,1,48,7,0,targ_class1,236.0,326.0,6.62
21,prac2_conj,conj_grid,0,1,34,8,0,targ_class1,199.0,104.0,7.2
21,prac2_conj,conj_grid,0,1,42,9,0,targ_class2,340.0,218.0,7.65
21,prac2_conj,conj_grid,0,1,26,10,0,targ_class2,122.0,19.0,8.53
21,prac2_conj,conj_grid,0,1,18,11,0,targ_class1,27.0,-95.0,9.52
21,prac2_conj,conj_grid,0,1,17,12,0,targ_class2,-111.0,-92.0,10.17
21,prac2_conj,conj_grid,0,1,23,13,0,targ_class2,-177.0,3.0,11.23
21,prac2_conj,conj_grid,0,1,24,14,0,targ_class1,-107.0,-8.0,11.58
21,prac2_conj,conj_grid,0,1,20,15,0,targ_class2,209.0,-95.0,12.42
21,prac2_conj,conj_grid,0,1,12,16,0,targ_class2,82.0,-218.0,13.23
21,prac2_conj,conj_grid,0,1,11,17,0,targ_class1,12.0,-206.0,13.9
21,prac2_conj,conj_grid,0,1,2,18,0,targ_class2,-198.0,-315.0,15.08
21,prac2_conj,conj_grid,0,1,10,19,0,targ_class1,-122.0,-192.0,15.65
21,prac2_conj,conj_grid,0,1,9,20,0,targ_class1,-188.0,-209.0,15.88
21,prac2_conj,conj_grid,0,1,8,21,0,targ_class1,-296.0,-224.0,16.38
21,prac2_conj,conj_grid,0,1,15,22,0,targ_class1,-348.0,-143.0,16.9
21,prac2_conj,conj_grid,0,1,28,23,0,targ_class2,356.0,1.0,18.17
21,prac2_conj,conj_grid,0,1,21,24,0,targ_class1,337.0,-108.0,19.26
21,conjunction_blocks,conj_rot,2,1,49,1,0,targ_class1,6.0,466.0,1.79
21,conjunction_blocks,conj_rot,2,1,42,2,0,targ_class1,70.0,387.0,2.22
21,conjunction_blocks,conj_rot,2,1,45,3,0,targ_class1,-315.0,152.0,3.17
21,conjunction_blocks,conj_rot,2,1,44,4,0,targ_class1,-361.0,102.0,4.42
21,conjunction_blocks,conj_rot,2,1,29,5,0,targ_class2,-290.0,-144.0,5.17
21,conjunction_blocks,conj_rot,2,1,15,6,0,targ_class1,-138.0,-322.0,5.94
21,conjunction_blocks,conj_rot,2,1,9,7,0,targ_class1,-6.0,-309.0,6.45
21,conjunction_blocks,conj_rot,2,1,10,8,0,targ_class2,51.0,-237.0,7.3
21,conjunction_blocks,conj_rot,2,1,16,9,0,targ_class2,-65.0,-229.0,7.97
21,conjunction_blocks,conj_rot,2,1,11,10,0,targ_class2,152.0,-170.0,8.68
21,conjunction_blocks,conj_rot,2,1,18,11,0,targ_class2,85.0,-81.0,9.22
21,conjunction_blocks,conj_rot,2,1,17,12,0,targ_class2,20.0,-158.0,9.79
21,conjunction_blocks,conj_rot,2,1,27,13,0,targ_class2,158.0,128.0,10.42
21,conjunction_blocks,conj_rot,2,1,40,14,0,targ_class2,-32.0,233.0,11.39
21,conjunction_blocks,conj_rot,2,1,39,15,0,targ_class2,-133.0,146.0,12.04
21,conjunction_blocks,conj_rot,2,1,38,16,0,targ_class2,-261.0,62.0,12.75
21,conjunction_blocks,conj_rot,2,1,32,17,0,targ_class1,-80.0,54.0,13.3
21,conjunction_blocks,conj_rot,2,1,25,18,0,targ_class1,31.0,14.0,13.95
21,conjunction_blocks,conj_rot,2,1,26,19,0,targ_class1,61.0,61.0,14.27
21,conjunction_blocks,conj_rot,2,1,20,20,0,targ_class1,263.0,52.0,14.87
