person,block,condition,trial,attempt,id,item_class,x,y
21,prac2_conj,conj_grid,1,1,1,dist_class2,-324.0,-325.0
21,prac2_conj,conj_grid,1,1,2,dist_class2,-216.0,-317.0
21,prac2_conj,conj_grid,1,1,3,targ_class1,-99.0,-326.0
21,prac2_conj,conj_grid,1,1,4,targ_class2,-11.0,-329.0
21,prac2_conj,conj_grid,1,1,5,dist_class1,114.0,-316.0
21,prac2_conj,conj_grid,1,1,6,targ_class1,229.0,-347.0
21,prac2_conj,conj_grid,1,1,7,targ_class1,338.0,-340.0
21,prac2_conj,conj_grid,1,1,8,targ_class2,-310.0,-220.0
21,prac2_conj,conj_grid,1,1,9,dist_class2,-236.0,-235.0
21,prac2_conj,conj_grid,1,1,10,targ_class1,-110.0,-233.0
21,prac2_conj,conj_grid,1,1,11,dist_class1,-0.0,-253.0
21,prac2_conj,conj_grid,1,1,12,dist_class1,104.0,-230.0
21,prac2_conj,conj_grid,1,1,13,dist_class1,213.0,-211.0
21,prac2_conj,conj_grid,1,1,14,targ_class2,309.0,-209.0
21,prac2_conj,conj_grid,1,1,15,targ_class2,-329.0,-99.0
21,prac2_conj,conj_grid,1,1,16,dist_class1,-219.0,-127.0
21,prac2_conj,conj_grid,1,1,17,dist_class2,-124.0,-110.0
21,prac2_conj,conj_grid,1,1,18,targ_class2,5.0,-112.0
21,prac2_conj,conj_grid,1,1,19,targ_class1,111.0,-135.0
21,prac2_conj,conj_grid,1,1,20,targ_class1,203.0,-134.0
21,prac2_conj,conj_grid,1,1,21,dist_class2,349.0,-145.0
21,prac2_conj,conj_grid,1,1,22,dist_class1,-313.0,22.0
21,prac2_conj,conj_grid,1,1,23,dist_class2,-204.0,7.0
21,prac2_conj,conj_grid,1,1,24,dist_class2,-102.0,1.0
21,prac2_conj,conj_grid,1,1,25,targ_class1,-19.0,15.0
21,prac2_conj,conj_grid,1,1,26,targ_class2,132.0,8.0
21,prac2_conj,conj_grid,1,1,27,dist_class2,238.0,-11.0
21,prac2_conj,conj_grid,1,1,28,targ_class2,345.0,-1.0
21,prac2_conj,conj_grid,1,1,29,dist_class1,-325.0,101.0
21,prac2_conj,conj_grid,1,1,30,dist_class1,-211.0,100.0
21,prac2_conj,conj_grid,1,1,31,dist_class2,-85.0,135.0
21,prac2_conj,conj_grid,1,1,32,targ_class2,3.0,120.0
21,prac2_conj,conj_grid,1,1,33,targ_class1,102.0,121.0
21,prac2_conj,conj_grid,1,1,34,targ_class1,226.0,113.0
21,prac2_conj,conj_grid,1,1,35,targ_class2,337.0,107.0
21,prac2_conj,conj_grid,1,1,36,dist_class2,-306.0,208.0
21,prac2_conj,conj_grid,1,1,37,targ_class1,-220.0,216.0
21,prac2_conj,conj_grid,1,1,38,dist_class1,-134.0,222.0
21,prac2_conj,conj_grid,1,1,39,targ_class1,-4.0,201.0
21,prac2_conj,conj_grid,1,1,40,dist_class1,100.0,239.0
21,prac2_conj,conj_grid,1,1,41,dist_class2,204.0,212.0
21,prac2_conj,conj_grid,1,1,42,dist_class1,334.0,201.0
21,prac2_conj,conj_grid,1,1,43,targ_class2,-329.0,311.0
21,prac2_conj,conj_grid,1,1,44,targ_class1,-192.0,314.0
21,prac2_conj,conj_grid,1,1,45,dist_class1,-104.0,346.0
21,prac2_conj,conj_grid,1,1,46,dist_class2,4.0,304.0
21,prac2_conj,conj_grid,1,1,47,targ_class2,89.0,335.0
21,prac2_conj,conj_grid,1,1,48,dist_class2,244.0,369.0
21,prac2_conj,conj_grid,1,1,49,targ_class2,295.0,335.0
21,prac2_conj,conj_grid,0,1,1,dist_class1,-312.0,-345.0
21,prac2_conj,conj_grid,0,1,2,targ_class2,-198.0,-315.0
21,prac2_conj,conj_grid,0,1,3,dist_class1,-112.0,-342.0
21,prac2_conj,conj_grid,0,1,4,dist_class1,22.0,-320.0
21,prac2_conj,conj_grid,0,1,5,dist_class2,90.0,-331.0
21,prac2_conj,conj_grid,0,1,6,dist_class2,201.0,-326.0
21,prac2_conj,conj_grid,0,1,7,dist_class2,334.0,-315.0
21,prac2_conj,conj_grid,0,1,8,targ_class1,-296.0,-224.0
21,prac2_conj,conj_grid,0,1,9,targ_class1,-188.0,-209.0
21,prac2_conj,conj_grid,0,1,10,targ_class1,-122.0,-192.0
21,prac2_conj,conj_grid,0,1,11,targ_class1,12.0,-206.0
21,prac2_conj,conj_grid,0,1,12,targ_class2,82.0,-218.0
21,prac2_conj,conj_grid,0,1,13,dist_class2,208.0,-219.0
21,prac2_conj,conj_grid,0,1,14,dist_class1,302.0,-213.0
21,prac2_conj,conj_grid,0,1,15,targ_class1,-348.0,-143.0
21,prac2_conj,conj_grid,0,1,16,dist_class1,-207.0,-87.0
21,prac2_conj,conj_grid,0,1,17,targ_class2,-111.0,-92.0
21,prac2_conj,conj_grid,0,1,18,targ_class1,27.0,-95.0
21,prac2_conj,conj_grid,0,1,19,dist_class2,82.0,-82.0
21,prac2_conj,conj_grid,0,1,20,targ_class2,209.0,-95.0
21,prac2_conj,conj_grid,0,1,21,targ_class1,337.0,-108.0
21,prac2_conj,conj_grid,0,1,22,targ_class2,-342.0,21.0
21,prac2_conj,conj_grid,0,1,23,targ_class2,-177.0,3.0
21,prac2_conj,conj_grid,0,1,24,targ_class1,-107.0,-8.0
21,prac2_conj,conj_grid,0,1,25,dist_class1,0.0,-7.0
21,prac2_conj,conj_grid,0,1,26,targ_class2,122.0,19.0
21,prac2_conj,conj_grid,0,1,27,dist_class2,216.0,-23.0
21,prac2_conj,conj_grid,0,1,28,targ_class2,356.0,1.0
21,prac2_conj,conj_grid,0,1,29,targ_class2,-322.0,132.0
21,prac2_conj,conj_grid,0,1,30,dist_class2,-225.0,130.0
21,prac2_conj,conj_grid,0,1,31,dist_class1,-146.0,137.0
21,prac2_conj,conj_grid,0,1,32,dist_class2,14.0,104.0
21,prac2_conj,conj_grid,0,1,33,dist_class1,103.0,88.0
21,prac2_conj,conj_grid,0,1,34,targ_class1,199.0,104.0
21,prac2_conj,conj_grid,0,1,35,dist_class2,340.0,93.0
21,prac2_conj,conj_grid,0,1,36,dist_class1,-387.0,232.0
21,prac2_conj,conj_grid,0,1,37,dist_class2,-248.0,251.0
21,prac2_conj,conj_grid,0,1,38,targ_class1,-115.0,209.0
21,prac2_conj,conj_grid,0,1,39,dist_class1,11.0,208.0
21,prac2_conj,conj_grid,0,1,40,targ_class1,110.0,243.0
21,prac2_conj,conj_grid,0,1,41,dist_class1,220.0,260.0
21,prac2_conj,conj_grid,0,1,42,targ_class2,340.0,218.0
21,prac2_conj,conj_grid,0,1,43,dist_class1,-347.0,332.0
21,prac2_conj,conj_grid,0,1,44,targ_class2,-204.0,319.0
21,prac2_conj,conj_grid,0,1,45,dist_class2,-121.0,328.0
21,prac2_conj,conj_grid,0,1,46,targ_class2,20.0,314.0
21,prac2_conj,conj_grid,0,1,47,dist_class2,128.0,321.0
21,prac2_conj,conj_grid,0,1,48,targ_class1,236.0,326.0
