person,condition,trial,id,item_class,x,y,trial_p
1,conj_grid,1,1,2,0,0.042,1
1,conj_grid,1,2,2,0.114,0.009,1
1,conj_grid,1,3,2,0.46,0.01,1
1,conj_grid,1,4,2,0.669,0,1
1,conj_grid,1,5,2,0.136,0.121,1
1,conj_grid,1,6,1,0.247,0.149,1
1,conj_grid,1,7,2,0.473,0.128,1
1,conj_grid,1,8,1,0.025,0.22,1
1,conj_grid,1,9,2,0.152,0.214,1
1,conj_grid,1,10,2,0.465,0.22,1
1,conj_grid,1,11,2,0.238,0.313,1
1,conj_grid,1,12,2,0.335,0.369,1
1,conj_grid,1,13,2,0.575,0.333,1
1,conj_grid,1,14,1,0.672,0.347,1
1,conj_grid,1,15,2,0.033,0.463,1
1,conj_grid,1,16,1,0.146,0.481,1
1,conj_grid,1,17,1,0.351,0.439,1
1,conj_grid,1,18,1,0.464,0.434,1
1,conj_grid,1,19,1,0.137,0.539,1
1,conj_grid,1,20,1,0.232,0.543,1
1,conj_grid,1,21,1,0.464,0.562,1
1,conj_grid,1,22,1,0.017,0.68,1
1,conj_grid,1,23,1,0.205,0.656,1
1,conj_grid,1,24,1,0.462,0.655,1
1,conj_grid,2,1,2,0.035,0.014,2
1,conj_grid,2,2,2,0.129,0.031,2
1,conj_grid,2,3,2,0.234,0,2
1,conj_grid,2,4,1,0.315,0.006,2
1,conj_grid,2,5,1,0.549,0.001,2
1,conj_grid,2,6,1,0.679,0.013,2
1,conj_grid,2,7,2,0.032,0.133,2
1,conj_grid,2,8,2,0.148,0.112,2
1,conj_grid,2,9,1,0.69,0.154,2
1,conj_grid,2,10,1,0.115,0.269,2
1,conj_grid,2,11,1,0.232,0.229,2
1,conj_grid,2,12,2,0.372,0.244,2
1,conj_grid,2,13,2,0.259,0.344,2
1,conj_grid,2,14,2,0.362,0.335,2
1,conj_grid,2,15,1,0.707,0.379,2
1,conj_grid,2,16,2,0,0.5,2
1,conj_grid,2,17,1,0.11,0.471,2
1,conj_grid,2,18,2,0.394,0.454,2
1,conj_grid,2,19,1,0.487,0.45,2
1,conj_grid,2,20,1,0.024,0.579,2
1,conj_grid,2,21,2,0.346,0.614,2
1,conj_grid,2,22,1,0.15,0.711,2
1,conj_grid,2,23,2,0.282,0.685,2
1,conj_grid,2,24,1,0.655,0.667,2
1,conj_grid,3,1,1,0.22,0.016,3
1,conj_grid,3,2,1,0.375,0.08,3
1,conj_grid,3,3,1,0.562,0,3
1,conj_grid,3,4,2,0.698,0.05,3
1,conj_grid,3,5,2,0.017,0.149,3
1,conj_grid,3,6,1,0.44,0.141,3
1,conj_grid,3,7,2,0.594,0.147,3
1,conj_grid,3,8,2,0.672,0.133,3
1,conj_grid,3,9,1,0.118,0.267,3
1,conj_grid,3,10,2,0.339,0.255,3
1,conj_grid,3,11,2,0.482,0.257,3
1,conj_grid,3,12,2,0.565,0.269,3
1,conj_grid,3,13,1,0.24,0.336,3
1,conj_grid,3,14,2,0.46,0.371,3
1,conj_grid,3,15,2,0.586,0.357,3
1,conj_grid,3,16,1,0.685,0.373,3
1,conj_grid,3,17,1,0.02,0.452,3
1,conj_grid,3,18,1,0.46,0.486,3
1,conj_grid,3,19,2,0,0.58,3
1,conj_grid,3,20,1,0.595,0.58,3
1,conj_grid,3,21,1,0.654,0.577,3
1,conj_grid,3,22,2,0.36,0.725,3
1,conj_grid,3,23,2,0.46,0.705,3
1,conj_grid,3,24,1,0.598,0.718,3
1,conj_grid,4,1,1,0,0,4
1,conj_grid,4,2,2,0.233,0.057,4
1,conj_grid,4,3,1,0.325,0.022,4
1,conj_grid,4,4,1,0.472,0.047,4
1,conj_grid,4,5,2,0.534,0.018,4
1,conj_grid,4,6,1,0.038,0.126,4
1,conj_grid,4,7,1,0.104,0.122,4
1,conj_grid,4,8,2,0.242,0.134,4
1,conj_grid,4,9,2,0.678,0.13,4
1,conj_grid,4,10,2,0.308,0.26,4
1,conj_grid,4,11,1,0.57,0.247,4
1,conj_grid,4,12,2,0.687,0.202,4
1,conj_grid,4,13,1,0.136,0.371,4
1,conj_grid,4,14,1,0.238,0.333,4
1,conj_grid,4,15,1,0.369,0.35,4
1,conj_grid,4,16,2,0.593,0.378,4
1,conj_grid,4,17,2,0.672,0.362,4
1,conj_grid,4,18,2,0.554,0.465,4
1,conj_grid,4,19,1,0.045,0.598,4
1,conj_grid,4,20,2,0.452,0.577,4
1,conj_grid,4,21,1,0.689,0.567,4
1,conj_grid,4,22,2,0.121,0.677,4
1,conj_grid,4,23,1,0.314,0.668,4
1,conj_grid,4,24,2,0.665,0.678,4
1,conj_grid,5,1,2,0.059,0.019,5
1,conj_grid,5,2,2,0.153,0.023,5
1,conj_grid,5,3,2,0.599,0,5
1,conj_grid,5,4,2,0.483,0.137,5
1,conj_grid,5,5,2,0.611,0.114,5
1,conj_grid,5,6,2,0.063,0.236,5
1,conj_grid,5,7,1,0.183,0.243,5
1,conj_grid,5,8,1,0.254,0.242,5
1,conj_grid,5,9,1,0.491,0.236,5
1,conj_grid,5,10,2,0.672,0.245,5
1,conj_grid,5,11,1,0,0.355,5
1,conj_grid,5,12,1,0.152,0.341,5
1,conj_grid,5,13,1,0.362,0.352,5
1,conj_grid,5,14,1,0.497,0.359,5
1,conj_grid,5,15,2,0.039,0.478,5
1,conj_grid,5,16,1,0.182,0.432,5
1,conj_grid,5,17,2,0.289,0.46,5
1,conj_grid,5,18,1,0.699,0.466,5
1,conj_grid,5,19,1,0.045,0.579,5
1,conj_grid,5,20,1,0.392,0.59,5
1,conj_grid,5,21,2,0.573,0.58,5
1,conj_grid,5,22,1,0.031,0.685,5
1,conj_grid,5,23,2,0.156,0.689,5
1,conj_grid,5,24,2,0.374,0.684,5
1,conj_grid,6,1,1,0.024,0,6
1,conj_grid,6,2,2,0.135,0.037,6
