participant,trial_number,trial_type,collected,collection_order,target_name,generic_target_name,table_number,interactable_type,world_x,world_z,coord_source,distance_to_next,same_table_as_previous
100,0,Conjunction,TRUE,1,ycup3Table9,NA,9,ycup,-0.34,0.49,partial_data,0.287923601,FALSE
100,0,Conjunction,TRUE,2,ycup1Table9,NA,9,ycup,-0.61,0.59,partial_data,0.34,TRUE
100,0,Conjunction,TRUE,3,ycup2Table9,NA,9,ycup,-0.27,0.59,partial_data,0.223606798,TRUE
100,0,Conjunction,TRUE,4,bbox6Table9,NA,9,bbox,-0.37,0.79,partial_data,0.344818793,TRUE
100,0,Conjunction,TRUE,5,bbox4Table9,NA,9,bbox,-0.54,0.49,partial_data,0.488364618,TRUE
100,0,Conjunction,TRUE,6,ycup1Table6,NA,6,ycup,-0.9,0.16,partial_data,0.371618084,FALSE
100,0,Conjunction,TRUE,7,bbox4Table6,NA,6,bbox,-1.24,0.01,partial_data,0.230867928,TRUE
100,0,Conjunction,TRUE,8,ycup2Table6,NA,6,ycup,-1.17,-0.21,partial_data,0.348281495,TRUE
100,0,Conjunction,TRUE,9,ycup3Table6,NA,6,ycup,-0.9,0.01,partial_data,0.974987179,TRUE
100,0,Conjunction,TRUE,10,bbox6Table5,NA,5,bbox,-1.25,-0.9,partial_data,0.122065556,FALSE
100,0,Conjunction,TRUE,11,ycup2Table5,NA,5,ycup,-1.18,-0.8,partial_data,0.287923601,TRUE
100,0,Conjunction,TRUE,12,ycup1Table5,NA,5,ycup,-1.45,-0.9,partial_data,0.122065556,TRUE
100,0,Conjunction,TRUE,13,ycup3Table5,NA,5,ycup,-1.35,-0.97,partial_data,0.111803399,TRUE
100,0,Conjunction,TRUE,14,bbox4Table5,NA,5,bbox,-1.45,-1.02,partial_data,0.45310043,TRUE
100,0,Conjunction,TRUE,15,bbox5Table5,NA,5,bbox,-1.28,-0.6,partial_data,1.296186715,TRUE
100,0,Conjunction,TRUE,16,bbox5Table2,NA,2,bbox,-1.77,-1.8,partial_data,0.319061123,FALSE
100,0,Conjunction,TRUE,17,bbox6Table2,NA,2,bbox,-1.6,-2.07,partial_data,0.274590604,TRUE
100,0,Conjunction,TRUE,18,ycup2Table2,NA,2,ycup,-1.87,-2.12,partial_data,0.111803399,TRUE
100,0,Conjunction,TRUE,19,ycup1Table2,NA,2,ycup,-1.77,-2.07,partial_data,NA,TRUE
100,0,Conjunction,FALSE,-1,NA,ycup1Table1,1,ycup,-2.02,-0.22,partial_data,NA,FALSE
100,0,Conjunction,FALSE,-1,NA,ycup2Table1,1,ycup,-2.02,0.17,partial_data,NA,FALSE
100,0,Conjunction,FALSE,-1,NA,ycup3Table1,1,ycup,-2.09,0,partial_data,NA,FALSE
100,0,Conjunction,FALSE,-1,NA,bbox1Table1,1,bbox,-1.85,0.2,partial_data,NA,FALSE
100,0,Conjunction,FALSE,-1,NA,bbox2Table1,1,bbox,-1.75,0,partial_data,NA,FALSE
100,0,Conjunction,FALSE,-1,NA,bbox3Table1,1,bbox,-1.92,0.1,partial_data,NA,FALSE
100,0,Conjunction,FALSE,-1,NA,ycup1Table2,2,ycup,-1.6,-1.75,partial_data,NA,FALSE
100,0,Conjunction,FALSE,-1,NA,bbox1Table2,2,bbox,-1.6,-1.9,partial_data,NA,FALSE
100,0,Conjunction,FALSE,-1,NA,ycup1Table3,3,ycup,-1.87,1.8,partial_data,NA,FALSE
