person,condition,trial,id,item_class,x,y,trial_p
1,ycup,1,1,2,0.054,0.497,1
1,ycup,1,2,2,0.02,0.517,1
1,ycup,1,3,2,0.02,0.463,1
1,ycup,1,4,2,0.04,0.477,1
1,ycup,1,5,2,0,0.453,1
1,ycup,1,6,2,0,0.531,1
1,ycup,1,7,2,0.03,0.095,1
1,ycup,1,8,2,0.085,0.115,1
1,ycup,1,9,2,0.03,0.149,1
1,ycup,1,10,2,0.03,0.07,1
1,ycup,1,11,2,0.05,0.08,1
1,ycup,1,12,2,0.085,0.08,1
1,ycup,1,13,2,0.03,0.913,1
1,ycup,1,14,2,0.07,0.859,1
1,ycup,1,15,2,0.05,0.879,1
1,ycup,1,16,2,0.085,0.879,1
1,ycup,1,17,2,0.05,0.899,1
1,ycup,1,18,2,0.03,0.835,1
1,ycup,1,19,2,0.105,0.714,1
1,ycup,1,20,2,0.119,0.734,1
1,ycup,1,21,2,0.139,0.694,1
1,ycup,1,22,2,0.085,0.674,1
1,ycup,1,23,2,0.105,0.66,1
1,ycup,1,24,2,0.139,0.66,1
1,ycup,1,25,2,0.155,0.316,1
1,ycup,1,26,2,0.135,0.302,1
1,ycup,1,27,2,0.135,0.356,1
1,ycup,1,28,2,0.101,0.336,1
1,ycup,1,29,2,0.169,0.336,1
1,ycup,1,30,2,0.135,0.336,1
1,ycup,1,31,2,0.225,0.499,1
1,ycup,1,32,2,0.211,0.479,1
1,ycup,1,33,2,0.225,0.529,1
1,ycup,1,34,2,0.205,0.539,1
1,ycup,1,35,2,0.157,0.499,1
1,ycup,1,36,2,0.171,0.455,1
1,ycup,1,37,2,0.225,0.189,1
1,ycup,1,38,2,0.245,0.175,1
1,ycup,1,39,2,0.245,0.121,1
1,ycup,1,40,2,0.245,0.155,1
1,ycup,1,41,2,0.225,0.135,1
1,ycup,1,42,2,0.28,0.121,1
1,ycup,1,43,2,0.266,0.819,1
1,ycup,1,44,2,0.225,0.795,1
1,ycup,1,45,2,0.211,0.839,1
1,ycup,1,46,2,0.225,0.819,1
1,ycup,1,47,2,0.28,0.805,1
1,ycup,1,48,2,0.225,0.873,1
1,ycup,1,49,2,0.352,0.581,1
1,ycup,1,50,2,0.352,0.646,1
1,ycup,1,51,2,0.352,0.616,1
1,ycup,1,52,2,0.318,0.636,1
1,ycup,1,53,2,0.298,0.596,1
1,ycup,1,54,2,0.298,0.65,1
1,ycup,1,55,2,0.3,0.35,1
1,ycup,1,56,2,0.3,0.374,1
1,ycup,1,57,2,0.32,0.414,1
1,ycup,1,58,2,0.354,0.425,1
1,ycup,1,59,2,0.334,0.435,1
1,ycup,1,60,2,0.34,0.374,1
1,ycup,1,61,2,0.384,0.742,1
1,ycup,1,62,2,0.419,0.803,1
1,ycup,1,63,2,0.439,0.763,1
1,ycup,1,64,2,0.37,0.763,1
1,ycup,1,65,2,0.384,0.718,1
1,ycup,1,66,2,0.404,0.763,1
1,ycup,1,67,2,0.406,0.054,1
1,ycup,1,68,2,0.372,0.034,1
1,ycup,1,69,2,0.406,0,1
1,ycup,1,70,2,0.441,0.064,1
1,ycup,1,71,2,0.406,0.034,1
1,ycup,1,72,2,0.441,0.034,1
1,ycup,1,73,2,0.441,0.239,1
1,ycup,1,74,2,0.441,0.27,1
1,ycup,1,75,2,0.441,0.205,1
1,ycup,1,76,2,0.386,0.219,1
1,ycup,1,77,2,0.427,0.219,1
1,ycup,1,78,2,0.421,0.28,1
1,ycup,1,79,2,0.421,0.99,1
1,ycup,1,80,2,0.386,0.984,1
1,ycup,1,81,2,0.406,0.915,1
1,ycup,1,82,2,0.441,0.95,1
1,ycup,1,83,2,0.386,0.905,1
1,ycup,1,84,2,0.441,0.98,1
1,ycup,1,85,2,0.525,0.414,1
1,ycup,1,86,2,0.511,0.394,1
1,ycup,1,87,2,0.491,0.33,1
1,ycup,1,88,2,0.511,0.374,1
1,ycup,1,89,2,0.491,0.408,1
1,ycup,1,90,2,0.477,0.374,1
1,ycup,1,91,2,0.551,0.664,1
1,ycup,1,92,2,0.531,0.674,1
1,ycup,1,93,2,0.551,0.634,1
1,ycup,1,94,2,0.517,0.654,1
1,ycup,1,95,2,0.551,0.6,1
1,ycup,1,96,2,0.497,0.668,1
1,ycup,1,97,2,0.581,0.185,1
1,ycup,1,98,2,0.602,0.111,1
1,ycup,1,99,2,0.547,0.101,1
1,ycup,1,100,2,0.547,0.179,1
1,ycup,1,101,2,0.602,0.145,1
1,ycup,1,102,2,0.588,0.125,1
1,ycup,1,103,2,0.602,0.815,1
1,ycup,1,104,2,0.588,0.829,1
1,ycup,1,105,2,0.547,0.883,1
1,ycup,1,106,2,0.567,0.869,1
1,ycup,1,107,2,0.547,0.805,1
1,ycup,1,108,2,0.602,0.879,1
1,ycup,1,109,2,0.61,0.499,1
1,ycup,1,110,2,0.59,0.455,1
1,ycup,1,111,2,0.644,0.529,1
1,ycup,1,112,2,0.59,0.479,1
1,ycup,1,113,2,0.575,0.499,1
1,ycup,1,114,2,0.61,0.465,1
1,ycup,1,115,2,0.674,0.694,1
1,ycup,1,116,2,0.742,0.66,1
1,ycup,1,117,2,0.742,0.694,1
1,ycup,1,118,2,0.708,0.694,1
1,ycup,1,119,2,0.742,0.724,1
1,ycup,1,120,2,0.728,0.674,1
1,ycup,1,121,2,0.708,0.266,1
1,ycup,1,122,2,0.674,0.3,1
1,ycup,1,123,2,0.728,0.28,1
1,ycup,1,124,2,0.688,0.256,1
1,ycup,1,125,2,0.688,0.28,1
1,ycup,1,126,2,0.688,0.334,1
1,ycup,1,127,2,0.757,0.109,1
1,ycup,1,128,2,0.777,0.089,1
1,ycup,1,129,2,0.736,0.089,1
1,ycup,1,130,2,0.722,0.109,1
1,ycup,1,131,2,0.791,0.109,1
1,ycup,1,132,2,0.791,0.074,1
1,ycup,1,133,2,0.736,0.92,1
1,ycup,1,134,2,0.771,0.926,1
1,ycup,1,135,2,0.757,0.905,1
1,ycup,1,136,2,0.757,0.885,1
1,ycup,1,137,2,0.791,0.851,1
1,ycup,1,138,2,0.736,0.841,1
1,ycup,1,139,2,0.813,0.477,1
1,ycup,1,140,2,0.793,0.517,1
1,ycup,1,141,2,0.793,0.497,1
1,ycup,1,142,2,0.827,0.463,1
1,ycup,1,143,2,0.773,0.477,1
1,ycup,1,144,2,0.827,0.527,1
1,ycup,2,1,2,0.054,0.497,2
1,ycup,2,2,2,0.02,0.517,2
1,ycup,2,3,2,0.02,0.463,2
1,ycup,2,4,2,0.04,0.477,2
1,ycup,2,5,2,0,0.453,2
1,ycup,2,6,2,0,0.531,2
1,ycup,2,7,2,0.03,0.095,2
1,ycup,2,8,2,0.085,0.115,2
1,ycup,2,9,2,0.03,0.149,2
1,ycup,2,10,2,0.03,0.07,2
1,ycup,2,11,2,0.05,0.08,2
1,ycup,2,12,2,0.085,0.08,2
1,ycup,2,13,2,0.03,0.913,2
1,ycup,2,14,2,0.07,0.859,2
1,ycup,2,15,2,0.05,0.879,2
1,ycup,2,16,2,0.085,0.879,2
1,ycup,2,17,2,0.05,0.899,2
1,ycup,2,18,2,0.03,0.835,2
1,ycup,2,19,2,0.105,0.66,2
1,ycup,2,20,2,0.139,0.66,2
1,ycup,2,21,2,0.105,0.714,2
1,ycup,2,22,2,0.085,0.674,2
1,ycup,2,23,2,0.139,0.694,2
1,ycup,2,24,2,0.119,0.734,2
1,ycup,2,25,2,0.169,0.336,2
1,ycup,2,26,2,0.101,0.336,2
1,ycup,2,27,2,0.155,0.316,2
1,ycup,2,28,2,0.135,0.356,2
1,ycup,2,29,2,0.135,0.336,2
1,ycup,2,30,2,0.135,0.302,2
1,ycup,2,31,2,0.211,0.479,2
1,ycup,2,32,2,0.171,0.455,2
1,ycup,2,33,2,0.225,0.499,2
1,ycup,2,34,2,0.157,0.499,2
1,ycup,2,35,2,0.225,0.529,2
1,ycup,2,36,2,0.205,0.539,2
1,ycup,2,37,2,0.225,0.189,2
1,ycup,2,38,2,0.245,0.175,2
1,ycup,2,39,2,0.245,0.121,2
1,ycup,2,40,2,0.245,0.155,2
1,ycup,2,41,2,0.225,0.135,2
1,ycup,2,42,2,0.28,0.121,2
1,ycup,2,43,2,0.266,0.819,2
1,ycup,2,44,2,0.225,0.795,2
1,ycup,2,45,2,0.211,0.839,2
1,ycup,2,46,2,0.225,0.819,2
