person,condition,trial,id,found,x,y,trial_p
1,ycup,1,49,1,0.435,0.703,1
1,ycup,1,53,2,0.371,0.72,1
1,ycup,1,54,3,0.371,0.785,1
1,ycup,1,52,4,0.395,0.768,1
1,ycup,1,51,5,0.435,0.744,1
1,ycup,1,50,6,0.435,0.78,1
1,ycup,1,58,7,0.438,0.517,1
1,ycup,1,55,8,0.373,0.428,1
1,ycup,1,57,9,0.397,0.505,1
1,ycup,1,59,10,0.414,0.529,1
1,ycup,1,60,11,0.421,0.457,1
1,ycup,1,56,12,0.373,0.457,1
1,ycup,1,31,13,0.285,0.605,1
1,ycup,1,34,14,0.261,0.653,1
1,ycup,1,35,15,0.203,0.605,1
1,ycup,1,32,16,0.268,0.581,1
1,ycup,1,33,17,0.285,0.641,1
1,ycup,1,36,18,0.22,0.553,1
1,ycup,1,87,19,0.6,0.404,1
1,ycup,1,90,20,0.584,0.457,1
1,ycup,1,89,21,0.6,0.498,1
1,ycup,1,88,22,0.624,0.457,1
1,ycup,1,86,23,0.624,0.481,1
1,ycup,1,85,24,0.641,0.505,1
1,ycup,1,114,25,0.742,0.565,1
1,ycup,2,49,1,0.435,0.703,2
1,ycup,2,53,2,0.371,0.72,2
1,ycup,2,54,3,0.371,0.785,2
1,ycup,2,52,4,0.395,0.768,2
1,ycup,2,51,5,0.435,0.744,2
1,ycup,2,50,6,0.435,0.78,2
1,ycup,2,21,7,0.141,0.861,2
1,ycup,2,24,8,0.158,0.885,2
1,ycup,2,23,9,0.182,0.837,2
1,ycup,2,22,10,0.117,0.813,2
1,ycup,2,19,11,0.141,0.797,2
1,ycup,2,20,12,0.182,0.797,2
1,ycup,2,33,13,0.285,0.605,2
1,ycup,2,36,14,0.261,0.653,2
1,ycup,2,34,15,0.203,0.605,2
1,ycup,2,31,16,0.268,0.581,2
1,ycup,2,35,17,0.285,0.641,2
1,ycup,2,32,18,0.22,0.553,2
1,ycup,2,27,19,0.201,0.388,2
1,ycup,2,30,20,0.177,0.371,2
1,ycup,2,28,21,0.177,0.435,2
1,ycup,2,26,22,0.136,0.411,2
1,ycup,2,25,23,0.218,0.411,2
1,ycup,2,29,24,0.177,0.411,2
1,ycup,3,114,1,0.742,0.565,3
1,ycup,3,113,2,0.742,0.605,3
