person,condition,trial,id,item_class,x,y,trial_p
1,Conjunction1,1,1,1,0.048,0.547,1
1,Conjunction1,1,2,1,0.068,0.507,1
1,Conjunction1,1,3,1,0.034,0.527,1
1,Conjunction1,1,4,2,0.014,0.463,1
1,Conjunction1,1,5,2,0.014,0.541,1
1,Conjunction1,1,6,2,0,0.507,1
1,Conjunction1,1,7,1,0.099,0.125,1
1,Conjunction1,1,8,1,0.064,0.145,1
1,Conjunction1,1,9,1,0.099,0.091,1
1,Conjunction1,1,10,2,0.064,0.091,1
1,Conjunction1,1,11,2,0.099,0.155,1
1,Conjunction1,1,12,2,0.044,0.08,1
1,Conjunction1,1,13,1,0.085,0.869,1
1,Conjunction1,1,14,1,0.044,0.924,1
1,Conjunction1,1,15,1,0.064,0.855,1
1,Conjunction1,1,16,2,0.044,0.869,1
1,Conjunction1,1,17,2,0.044,0.845,1
1,Conjunction1,1,18,2,0.078,0.93,1
1,Conjunction1,1,19,1,0.153,0.67,1
1,Conjunction1,1,20,1,0.119,0.704,1
1,Conjunction1,1,21,1,0.085,0.704,1
1,Conjunction1,1,22,2,0.119,0.724,1
1,Conjunction1,1,23,2,0.133,0.744,1
1,Conjunction1,1,24,2,0.099,0.738,1
1,Conjunction1,1,25,1,0.129,0.302,1
1,Conjunction1,1,26,1,0.163,0.386,1
1,Conjunction1,1,27,1,0.169,0.326,1
1,Conjunction1,1,28,2,0.129,0.326,1
1,Conjunction1,1,29,2,0.183,0.346,1
1,Conjunction1,1,30,2,0.149,0.312,1
1,Conjunction1,1,31,1,0.185,0.543,1
1,Conjunction1,1,32,1,0.205,0.529,1
1,Conjunction1,1,33,1,0.171,0.509,1
1,Conjunction1,1,34,2,0.239,0.539,1
1,Conjunction1,1,35,2,0.185,0.465,1
1,Conjunction1,1,36,2,0.239,0.509,1
1,Conjunction1,1,37,1,0.239,0.199,1
1,Conjunction1,1,38,1,0.239,0.121,1
1,Conjunction1,1,39,1,0.294,0.165,1
1,Conjunction1,1,40,2,0.26,0.131,1
1,Conjunction1,1,41,2,0.294,0.131,1
1,Conjunction1,1,42,2,0.239,0.145,1
1,Conjunction1,1,43,1,0.28,0.829,1
1,Conjunction1,1,44,1,0.26,0.849,1
1,Conjunction1,1,45,1,0.26,0.869,1
1,Conjunction1,1,46,2,0.294,0.849,1
1,Conjunction1,1,47,2,0.239,0.883,1
1,Conjunction1,1,48,2,0.294,0.879,1
1,Conjunction1,1,49,1,0.332,0.626,1
1,Conjunction1,1,50,1,0.312,0.606,1
1,Conjunction1,1,51,1,0.346,0.666,1
1,Conjunction1,1,52,2,0.298,0.626,1
1,Conjunction1,1,53,2,0.366,0.626,1
1,Conjunction1,1,54,2,0.352,0.606,1
1,Conjunction1,1,55,1,0.314,0.384,1
1,Conjunction1,1,56,1,0.368,0.404,1
1,Conjunction1,1,57,1,0.314,0.36,1
1,Conjunction1,1,58,2,0.3,0.404,1
1,Conjunction1,1,59,2,0.368,0.37,1
1,Conjunction1,1,60,2,0.334,0.425,1
1,Conjunction1,1,61,1,0.419,0.793,1
1,Conjunction1,1,62,1,0.453,0.738,1
1,Conjunction1,1,63,1,0.398,0.753,1
1,Conjunction1,1,64,2,0.453,0.773,1
1,Conjunction1,1,65,2,0.433,0.813,1
1,Conjunction1,1,66,2,0.419,0.773,1
1,Conjunction1,1,67,1,0.4,0,1
1,Conjunction1,1,68,1,0.421,0.044,1
1,Conjunction1,1,69,1,0.4,0.078,1
1,Conjunction1,1,70,2,0.4,0.024,1
1,Conjunction1,1,71,2,0.441,0.024,1
1,Conjunction1,1,72,2,0.455,0.044,1
1,Conjunction1,1,73,1,0.421,0.27,1
1,Conjunction1,1,74,1,0.4,0.229,1
1,Conjunction1,1,75,1,0.441,0.229,1
1,Conjunction1,1,76,2,0.4,0.284,1
1,Conjunction1,1,77,2,0.421,0.215,1
1,Conjunction1,1,78,2,0.4,0.205,1
1,Conjunction1,1,79,1,0.386,0.96,1
1,Conjunction1,1,80,1,0.455,0.96,1
1,Conjunction1,1,81,1,0.4,0.915,1
1,Conjunction1,1,82,2,0.455,0.99,1
1,Conjunction1,1,83,2,0.455,0.926,1
1,Conjunction1,1,84,2,0.4,0.94,1
1,Conjunction1,1,85,1,0.559,0.414,1
1,Conjunction1,1,86,1,0.525,0.384,1
1,Conjunction1,1,87,1,0.525,0.35,1
1,Conjunction1,1,88,2,0.539,0.425,1
1,Conjunction1,1,89,2,0.505,0.419,1
1,Conjunction1,1,90,2,0.545,0.364,1
1,Conjunction1,1,91,1,0.497,0.644,1
1,Conjunction1,1,92,1,0.511,0.678,1
1,Conjunction1,1,93,1,0.551,0.624,1
1,Conjunction1,1,94,2,0.565,0.674,1
1,Conjunction1,1,95,2,0.511,0.6,1
1,Conjunction1,1,96,2,0.545,0.684,1
1,Conjunction1,1,97,1,0.581,0.121,1
1,Conjunction1,1,98,1,0.596,0.195,1
1,Conjunction1,1,99,1,0.561,0.189,1
1,Conjunction1,1,100,2,0.581,0.175,1
1,Conjunction1,1,101,2,0.616,0.121,1
1,Conjunction1,1,102,2,0.616,0.185,1
1,Conjunction1,1,103,1,0.561,0.839,1
1,Conjunction1,1,104,1,0.616,0.859,1
1,Conjunction1,1,105,1,0.581,0.825,1
1,Conjunction1,1,106,2,0.602,0.839,1
1,Conjunction1,1,107,2,0.581,0.859,1
1,Conjunction1,1,108,2,0.561,0.893,1
1,Conjunction1,1,109,1,0.658,0.475,1
1,Conjunction1,1,110,1,0.624,0.529,1
1,Conjunction1,1,111,1,0.604,0.489,1
1,Conjunction1,1,112,2,0.624,0.475,1
1,Conjunction1,1,113,2,0.658,0.539,1
1,Conjunction1,1,114,2,0.59,0.509,1
1,Conjunction1,1,115,1,0.688,0.704,1
1,Conjunction1,1,116,1,0.757,0.67,1
1,Conjunction1,1,117,1,0.722,0.724,1
1,Conjunction1,1,118,2,0.702,0.684,1
1,Conjunction1,1,119,2,0.702,0.738,1
1,Conjunction1,1,120,2,0.757,0.734,1
1,Conjunction1,1,121,1,0.757,0.276,1
1,Conjunction1,1,122,1,0.742,0.29,1
1,Conjunction1,1,123,1,0.722,0.276,1
1,Conjunction1,1,124,2,0.702,0.344,1
1,Conjunction1,1,125,2,0.722,0.31,1
1,Conjunction1,1,126,2,0.722,0.33,1
1,Conjunction1,1,127,1,0.751,0.153,1
1,Conjunction1,1,128,1,0.771,0.119,1
1,Conjunction1,1,129,1,0.791,0.099,1
1,Conjunction1,1,130,2,0.805,0.119,1
1,Conjunction1,1,131,2,0.751,0.074,1
1,Conjunction1,1,132,2,0.785,0.159,1
1,Conjunction1,1,133,1,0.771,0.915,1
1,Conjunction1,1,134,1,0.736,0.895,1
1,Conjunction1,1,135,1,0.805,0.926,1
1,Conjunction1,1,136,2,0.751,0.851,1
1,Conjunction1,1,137,2,0.805,0.861,1
1,Conjunction1,1,138,2,0.791,0.875,1
1,Conjunction1,1,139,1,0.841,0.537,1
1,Conjunction1,1,140,1,0.787,0.541,1
1,Conjunction1,1,141,1,0.827,0.487,1
1,Conjunction1,1,142,2,0.787,0.487,1
1,Conjunction1,1,143,2,0.821,0.547,1
1,Conjunction1,1,144,2,0.773,0.507,1
1,Conjunction1,2,1,1,0,0.507,2
1,Conjunction1,2,2,1,0.048,0.547,2
1,Conjunction1,2,3,1,0.068,0.507,2
1,Conjunction1,2,4,2,0.034,0.507,2
1,Conjunction1,2,5,2,0.014,0.463,2
1,Conjunction1,2,6,2,0.014,0.541,2
1,Conjunction1,2,7,1,0.064,0.145,2
1,Conjunction1,2,8,1,0.099,0.091,2
1,Conjunction1,2,9,1,0.044,0.08,2
1,Conjunction1,2,10,2,0.064,0.091,2
1,Conjunction1,2,11,2,0.099,0.155,2
1,Conjunction1,2,12,2,0.099,0.125,2
1,Conjunction1,2,13,1,0.044,0.845,2
1,Conjunction1,2,14,1,0.044,0.924,2
1,Conjunction1,2,15,1,0.044,0.869,2
1,Conjunction1,2,16,2,0.085,0.869,2
1,Conjunction1,2,17,2,0.064,0.855,2
1,Conjunction1,2,18,2,0.078,0.93,2
1,Conjunction1,2,19,1,0.119,0.724,2
1,Conjunction1,2,20,1,0.133,0.744,2
1,Conjunction1,2,21,1,0.099,0.738,2
1,Conjunction1,2,22,2,0.153,0.67,2
1,Conjunction1,2,23,2,0.119,0.704,2
1,Conjunction1,2,24,2,0.085,0.704,2
1,Conjunction1,2,25,1,0.169,0.326,2
1,Conjunction1,2,26,1,0.183,0.346,2
1,Conjunction1,2,27,1,0.129,0.326,2
1,Conjunction1,2,28,2,0.149,0.312,2
1,Conjunction1,2,29,2,0.129,0.302,2
1,Conjunction1,2,30,2,0.163,0.386,2
1,Conjunction1,2,31,1,0.239,0.539,2
1,Conjunction1,2,32,1,0.171,0.509,2
1,Conjunction1,2,33,1,0.185,0.465,2
1,Conjunction1,2,34,2,0.239,0.509,2
1,Conjunction1,2,35,2,0.185,0.543,2
1,Conjunction1,2,36,2,0.205,0.529,2
1,Conjunction1,2,37,1,0.26,0.131,2
1,Conjunction1,2,38,1,0.294,0.131,2
1,Conjunction1,2,39,1,0.239,0.145,2
1,Conjunction1,2,40,2,0.239,0.199,2
1,Conjunction1,2,41,2,0.239,0.121,2
1,Conjunction1,2,42,2,0.294,0.165,2
1,Conjunction1,2,43,1,0.26,0.849,2
1,Conjunction1,2,44,1,0.26,0.869,2
1,Conjunction1,2,45,1,0.28,0.829,2
1,Conjunction1,2,46,2,0.294,0.849,2
1,Conjunction1,2,47,2,0.294,0.879,2
1,Conjunction1,2,48,2,0.239,0.883,2
1,Conjunction1,2,49,1,0.352,0.606,2
1,Conjunction1,2,50,1,0.298,0.626,2
1,Conjunction1,2,51,1,0.366,0.626,2
1,Conjunction1,2,52,2,0.346,0.666,2
1,Conjunction1,2,53,2,0.312,0.606,2
1,Conjunction1,2,54,2,0.332,0.626,2
1,Conjunction1,2,55,1,0.3,0.404,2
1,Conjunction1,2,56,1,0.368,0.37,2
1,Conjunction1,2,57,1,0.334,0.425,2
1,Conjunction1,2,58,2,0.314,0.384,2
1,Conjunction1,2,59,2,0.368,0.404,2
1,Conjunction1,2,60,2,0.314,0.36,2
1,Conjunction1,2,61,1,0.419,0.793,2
1,Conjunction1,2,62,1,0.453,0.773,2
1,Conjunction1,2,63,1,0.453,0.738,2
1,Conjunction1,2,64,2,0.433,0.813,2
1,Conjunction1,2,65,2,0.398,0.753,2
1,Conjunction1,2,66,2,0.419,0.773,2
1,Conjunction1,2,67,1,0.4,0.024,2
1,Conjunction1,2,68,1,0.441,0.024,2
1,Conjunction1,2,69,1,0.455,0.044,2
1,Conjunction1,2,70,2,0.4,0,2
1,Conjunction1,2,71,2,0.421,0.044,2
1,Conjunction1,2,72,2,0.4,0.078,2
